window_id,k,alpha_k
0,0,1.0
0,1,0.8066410638588016
0,2,0.6506698059032594
0,3,0.5248569844546035
0,4,0.42337119631418446
0,5,0.34150859220204666
0,6,0.2754748541307793
0,7,0.22220932940239915
0,8,0.17924316986850108
1,0,1.0
1,1,0.8066410638588014
1,2,0.6506698059032573
1,3,0.5248569844546023
1,4,0.42337119631418246
1,5,0.34150859220204344
1,6,0.2754748541307781
1,7,0.22220932940239826
1,8,0.17924316986850097
2,0,1.0
2,1,0.8066410638588
2,2,0.6506698059032558
2,3,0.5248569844546014
2,4,0.42337119631418013
2,5,0.34150859220204444
2,6,0.27547485413077755
2,7,0.22220932940239885
2,8,0.17924316986850108
3,0,1.0
3,1,0.8066410638588005
3,2,0.6506698059032574
3,3,0.5248569844545999
3,4,0.4233711963141796
3,5,0.3415085922020439
3,6,0.27547485413077805
3,7,0.22220932940239843
3,8,0.1792431698685005
4,0,1.0
4,1,0.8066410638588012
4,2,0.650669805903255
4,3,0.5248569844546014
4,4,0.4233711963141811
4,5,0.3415085922020442
4,6,0.2754748541307783
4,7,0.2222093294023979
4,8,0.17924316986850092
5,0,1.0
5,1,0.8066410638587987
5,2,0.6506698059032568
5,3,0.5248569844546009
5,4,0.4233711963141825
5,5,0.3415085922020445
5,6,0.275474854130778
5,7,0.22220932940239857
5,8,0.1792431698685014
6,0,1.0
6,1,0.8066410638587984
6,2,0.6506698059032567
6,3,0.5248569844546027
6,4,0.42337119631418113
6,5,0.341508592202044
6,6,0.27547485413077816
6,7,0.22220932940239835
6,8,0.1792431698685013
7,0,1.0
7,1,0.8066410638588015
7,2,0.6506698059032584
7,3,0.5248569844546015
7,4,0.42337119631418185
7,5,0.3415085922020445
7,6,0.2754748541307791
7,7,0.22220932940239876
7,8,0.17924316986850186
8,0,1.0
8,1,0.8066410638588001
8,2,0.6506698059032586
8,3,0.5248569844546016
8,4,0.4233711963141823
8,5,0.341508592202044
8,6,0.2754748541307787
8,7,0.22220932940239888
8,8,0.17924316986850178
