section,name,value
constant,phi,1.618033988749895
constant,phi_mertens_M,3.52150202417293
constant,phi_euler_gamma,0.6180339887498947
constant,phi_bitsize_C,166.94505971439452
constant,phi_lambda_rh,7.140544004917683e-14
constant,phi_noise_floor,3.092246064227462e-09
constant,phi_signal_scale,35.832719270181045
constant,bv_exponent,0.5
connection,phi_riemann_connection,0.6180339887498949
connection,phi_hilbert_polya_ratio,0.6180339887498948
connection,phi_spectral_bridge,0.0
connection,phi_zeta_correspondence,0.2360679774997898
normalization,phi_spectral_measure,0.48586827175664565
normalization,phi_trace_normalization,0.6180339887498949
normalization,phi_determinant_factor,1.272019649514069

T_phi_9D,T,F_0,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8
T_phi_9D,2.5,1.1952684470499628,0.5328707190937444,0.2190871474659326,0.08630080430277785,0.03336818530204976,0.012805806790568218,0.004900254940414122,0.0018730294668783463,0.0007156232986939832
T_phi_9D,2.736842105263158,1.4247344679591067,0.6501209422946752,0.27105702605703913,0.10746693057276033,0.041663294024028304,0.016006067885738866,0.0061273515909922565,0.002342428867173919,0.0008950188159346475
T_phi_9D,2.973684210526316,2.210567852138197,0.9866568031561134,0.40894099570956555,0.16190575450495337,0.06274504344686382,0.024102411789409414,0.009226380210907395,0.003527106832426115,0.0013476651071592225
T_phi_9D,3.2105263157894735,2.419062747326898,1.1119900084273249,0.4689405802526658,0.18719395093374464,0.07279525270258452,0.028001129713367132,0.010724459918402538,0.004100630542955714,0.0015669230595938446
T_phi_9D,3.4473684210526314,3.538345054343268,1.5957951684143665,0.6691448977341591,0.26676698437439955,0.10370890004577839,0.039889163693071626,0.015277219195300253,0.0058413853896843015,0.00223208918156106
T_phi_9D,3.6842105263157894,3.7562101871042173,1.7499416084040986,0.7476763336793449,0.3008112461470987,0.11739971195317703,0.04522512672137752,0.01733129289644098,0.006628315333700747,0.0025330127999481145
T_phi_9D,3.9210526315789473,5.2418814498381865,2.4054445087760867,1.0227815637186393,0.41109730055983906,0.16042065762045943,0.06179735633482566,0.023682242994798906,0.00905724582334365,0.0034612332994057504
T_phi_9D,4.157894736842105,6.4019248011988,2.959831775457276,1.265831426108036,0.5106253064552074,0.1996012842607893,0.07694565601256949,0.02949579342843505,0.011281868453066547,0.0043115560291355015
T_phi_9D,4.394736842105263,8.416288432144063,3.8689149127073414,1.6524464982189788,0.6668344116701937,0.26076915316918353,0.10054644606993544,0.03854610947372295,0.014744039959300364,0.005634758559318238
T_phi_9D,4.631578947368421,10.058426858419747,4.673166113956058,2.0093983538001945,0.8140620492385837,0.31893698376626795,0.12307066970912484,0.04719573992786534,0.018054722779304706,0.006900326453666448
T_phi_9D,4.868421052631579,12.96547076646125,6.006894609871379,2.581553198810321,1.0464281646922433,0.41016646194323747,0.15831088837905616,0.060715764390959916,0.023227704975239166,0.008877519269296946
T_phi_9D,5.105263157894736,16.505820496193238,7.641977771635202,3.2853159739237916,1.3327860414006107,0.5227064665084252,0.20180242477529062,0.07740447612348812,0.029613534685898734,0.01131834815754323
T_phi_9D,5.342105263157895,21.005832753161215,9.7188292008185,4.178693643432934,1.6962677849340946,0.6655746371465641,0.2570195245704666,0.09859348409578592,0.037721520175625765,0.014417451349094485
T_phi_9D,5.578947368421053,26.757191787196714,12.368987303316267,5.317508479396324,2.159436305008601,0.8476201791194254,0.3273801216739124,0.12559411849149477,0.04805340701685548,0.01836660530682825
T_phi_9D,5.815789473684211,33.08986147534398,15.362987987123574,6.621329914234582,2.6931632387787565,1.0580124313700026,0.40879562102319034,0.15685207959353076,0.060016606882173314,0.022939623318708167
T_phi_9D,6.052631578947368,42.82590097468881,19.809261883829347,8.522257210918841,3.464453231452589,1.3609064686955987,0.5258309869358936,0.20175953529325585,0.07719997577800859,0.029507527394719575
T_phi_9D,6.289473684210526,53.53932396673398,24.824668979685033,10.694709103555185,4.351528616529375,1.7102644899503086,0.6609793850364022,0.2536414231585589,0.0970556448481912,0.037097379616664865
T_phi_9D,6.526315789473684,69.89878475351448,32.24092547653782,13.852268924509637,5.630089923337943,2.211978972230282,0.8547840573635049,0.3279985981571816,0.12550660413593587,0.04797188292647817
T_phi_9D,6.763157894736842,88.62789149148638,40.87742371340916,17.56300084613935,7.139325745513248,2.805394519849256,1.0842024255690095,0.41604883580604907,0.15920120726034848,0.060851243485205535
T_phi_9D,7.0,112.09963609868491,51.71857090611498,22.225314877694732,9.036458969086617,3.551503607937305,1.3726856034640507,0.5267733027102854,0.20157347362685313,0.07704765745082601
