zero_index,gamma,C_phi,is_convex,norm_center,norm_plus,norm_minus
1,14.134725142,2.616689338e-03,True,7.657020557e+02,7.643598666e+02,7.670468615e+02
101,237.769820481,1.227106265e-07,True,1.986296401e+00,1.985844141e+00,1.986748785e+00
201,397.918736210,1.471484801e-08,True,3.890184750e-01,3.889447695e-01,3.890921952e-01
301,544.323890101,3.377134822e-09,True,1.004479578e-01,1.004296552e-01,1.004662638e-01
401,681.894991533,9.455634123e-10,True,2.886079332e-02,2.885557714e-02,2.886601044e-02
501,812.771108389,2.884749210e-10,True,8.854745717e-03,8.853148146e-03,8.856343576e-03
601,939.660940615,9.172666533e-11,True,2.819225327e-03,2.818716888e-03,2.819733857e-03
701,1064.071551072,2.986269348e-11,True,9.181207807e-04,9.179552165e-04,9.182863748e-04
801,1185.155842847,1.002113551e-11,True,3.081211816e-04,3.080656197e-04,3.081767537e-04
901,1303.273200229,3.454259421e-12,True,1.062106756e-04,1.061915233e-04,1.062298314e-04
