Riemann-side LOG-FREE bit-offset weight model
===========================================

Number of zeros used: 99999
Index range: 1 .. 99999
Gamma range: 14.134725142000 .. 74920.259793259000
Polynomial degree in index j: 2
k_scale for bit_size_offset: 1.0000
Reference index for v_ref: 1

Fitted coefficients (a_0 + a_1 j + ...):
  a_0 = 9.9865064834810124e-01
  a_1 = 3.6069667732585261e-09
  a_2 = -3.0058505916155607e-14

RMS residual over 1..99999: 3.158175267439e-03

Extrapolated weights for next 100 indices:
index_j, model_fit
100000, 9.987107623710e-01
100001, 9.987107599663e-01
100002, 9.987107575615e-01
100003, 9.987107551567e-01
100004, 9.987107527518e-01
100005, 9.987107503468e-01
100006, 9.987107479418e-01
100007, 9.987107455368e-01
100008, 9.987107431317e-01
100009, 9.987107407265e-01
100010, 9.987107383212e-01
100011, 9.987107359159e-01
100012, 9.987107335105e-01
100013, 9.987107311051e-01
100014, 9.987107286996e-01
100015, 9.987107262941e-01
100016, 9.987107238885e-01
100017, 9.987107214828e-01
100018, 9.987107190771e-01
100019, 9.987107166713e-01
100020, 9.987107142655e-01
100021, 9.987107118596e-01
100022, 9.987107094536e-01
100023, 9.987107070476e-01
100024, 9.987107046415e-01
100025, 9.987107022353e-01
100026, 9.987106998291e-01
100027, 9.987106974229e-01
100028, 9.987106950165e-01
100029, 9.987106926101e-01
100030, 9.987106902037e-01
100031, 9.987106877972e-01
100032, 9.987106853906e-01
100033, 9.987106829840e-01
100034, 9.987106805773e-01
100035, 9.987106781705e-01
100036, 9.987106757637e-01
100037, 9.987106733569e-01
100038, 9.987106709499e-01
100039, 9.987106685430e-01
100040, 9.987106661359e-01
100041, 9.987106637288e-01
100042, 9.987106613216e-01
100043, 9.987106589144e-01
100044, 9.987106565071e-01
100045, 9.987106540998e-01
100046, 9.987106516923e-01
100047, 9.987106492849e-01
100048, 9.987106468773e-01
100049, 9.987106444698e-01
100050, 9.987106420621e-01
100051, 9.987106396544e-01
100052, 9.987106372466e-01
100053, 9.987106348388e-01
100054, 9.987106324309e-01
100055, 9.987106300230e-01
100056, 9.987106276149e-01
100057, 9.987106252069e-01
100058, 9.987106227987e-01
100059, 9.987106203906e-01
100060, 9.987106179823e-01
100061, 9.987106155740e-01
100062, 9.987106131656e-01
100063, 9.987106107572e-01
100064, 9.987106083487e-01
100065, 9.987106059401e-01
100066, 9.987106035315e-01
100067, 9.987106011229e-01
100068, 9.987105987141e-01
100069, 9.987105963053e-01
100070, 9.987105938965e-01
100071, 9.987105914876e-01
100072, 9.987105890786e-01
100073, 9.987105866696e-01
100074, 9.987105842605e-01
100075, 9.987105818513e-01
100076, 9.987105794421e-01
100077, 9.987105770328e-01
100078, 9.987105746235e-01
100079, 9.987105722141e-01
100080, 9.987105698047e-01
100081, 9.987105673951e-01
100082, 9.987105649856e-01
100083, 9.987105625759e-01
100084, 9.987105601662e-01
100085, 9.987105577565e-01
100086, 9.987105553467e-01
100087, 9.987105529368e-01
100088, 9.987105505269e-01
100089, 9.987105481169e-01
100090, 9.987105457068e-01
100091, 9.987105432967e-01
100092, 9.987105408865e-01
100093, 9.987105384763e-01
100094, 9.987105360660e-01
100095, 9.987105336556e-01
100096, 9.987105312452e-01
100097, 9.987105288347e-01
100098, 9.987105264242e-01
100099, 9.987105240136e-01
