# Golden Metric Tensor g_ij = φ^(i+j)
component_i,component_j,metric_value
0,0,1.00000000
0,1,1.61803399
0,2,2.61803399
0,3,4.23606798
0,4,6.85410197
0,5,11.09016994
0,6,17.94427191
0,7,29.03444185
0,8,46.97871376
1,0,1.61803399
1,1,2.61803399
1,2,4.23606798
1,3,6.85410197
1,4,11.09016994
1,5,17.94427191
1,6,29.03444185
1,7,46.97871376
1,8,76.01315562
2,0,2.61803399
2,1,4.23606798
2,2,6.85410197
2,3,11.09016994
2,4,17.94427191
2,5,29.03444185
2,6,46.97871376
2,7,76.01315562
2,8,122.99186938
3,0,4.23606798
3,1,6.85410197
3,2,11.09016994
3,3,17.94427191
3,4,29.03444185
3,5,46.97871376
3,6,76.01315562
3,7,122.99186938
3,8,199.00502500
4,0,6.85410197
4,1,11.09016994
4,2,17.94427191
4,3,29.03444185
4,4,46.97871376
4,5,76.01315562
4,6,122.99186938
4,7,199.00502500
4,8,321.99689438
5,0,11.09016994
5,1,17.94427191
5,2,29.03444185
5,3,46.97871376
5,4,76.01315562
5,5,122.99186938
5,6,199.00502500
5,7,321.99689438
5,8,521.00191938
6,0,17.94427191
6,1,29.03444185
6,2,46.97871376
6,3,76.01315562
6,4,122.99186938
6,5,199.00502500
6,6,321.99689438
6,7,521.00191938
6,8,842.99881376
7,0,29.03444185
7,1,46.97871376
7,2,76.01315562
7,3,122.99186938
7,4,199.00502500
7,5,321.99689438
7,6,521.00191938
7,7,842.99881376
7,8,1364.00073314
8,0,46.97871376
8,1,76.01315562
8,2,122.99186938
8,3,199.00502500
8,4,321.99689438
8,5,521.00191938
8,6,842.99881376
8,7,1364.00073314
8,8,2206.99954690

# Geodesic Analysis
metric,value
rms_geodesic_error,1.43159531e-01
max_geodesic_deviation,6.85410178e+00
riemannian_curve_length,680.50308666
metric_determinant,8.53787426e-114

# Flow Analysis
is_contracting,False
contraction_rate,1.00000000
inward_flow_fraction,0.01340268
appears_dissipative,False
