# Sech² Hyperbolic Analysis
move_index,gamma,shift_unified_value,hyperbolic_coherence,bit_size_shift,sech2_error_rate,bit_size_energy,sech2_bit_coupling
0,14.134725,0.20668276,0.94852415,0.82066560,0.13542091,0.111135280238,0.01740358
1,21.022040,0.05223094,0.90332596,0.59557252,0.00473122,0.002817785378,0.00052819
2,25.010858,0.04222468,0.90397587,0.64131430,0.00567768,0.003641179708,0.00063446
3,30.424876,0.01331754,0.90008932,0.36993841,0.00012412,0.000045915004,0.00001379
4,32.935062,0.02089818,0.90074613,0.54016912,0.00104400,0.000563936230,0.00011612
5,37.586178,0.01096470,0.90010666,0.39079400,0.00014826,0.000057938296,0.00001648
6,40.918719,0.00612751,0.90001742,0.29166727,0.00002420,0.000007057080,0.00000269
7,43.327073,0.00977658,0.90016710,0.47999050,0.00023226,0.000111481692,0.00002581
8,48.005151,0.00341425,0.90000292,0.21258504,0.00000405,0.000000861338,0.00000045
9,49.773832,0.00578607,0.90002735,0.33595975,0.00003800,0.000012766548,0.00000422
10,52.970321,0.00553776,0.90002963,0.33482704,0.00004116,0.000013781383,0.00000457
11,56.446248,0.00391037,0.90001029,0.26937058,0.00001430,0.000003850767,0.00000159
12,59.347044,0.00175761,0.90000054,0.14255183,0.00000076,0.000000107863,0.00000008
13,60.831779,0.00429062,0.90002698,0.34714873,0.00003748,0.000013010782,0.00000416
14,65.112544,0.00169712,0.90000089,0.17426108,0.00000124,0.000000215828,0.00000014
15,67.079811,0.00197699,0.90000190,0.21101978,0.00000264,0.000000557545,0.00000029
16,69.546402,0.00191546,0.90000187,0.21192202,0.00000259,0.000000548956,0.00000029
17,72.067158,0.00265518,0.90000746,0.28301910,0.00001036,0.000002933303,0.00000115
18,75.704691,0.00102357,0.90000017,0.11914667,0.00000024,0.000000028767,0.00000003
19,77.144840,0.00152275,0.90000089,0.17000030,0.00000124,0.000000210550,0.00000014
20,79.337375,0.00236428,0.90000571,0.24636574,0.00000793,0.000001953381,0.00000088
21,82.910381,0.00113798,0.90000035,0.12485079,0.00000048,0.000000059841,0.00000005
22,84.735493,0.00157470,0.90000144,0.16620975,0.00000199,0.000000331313,0.00000022
23,87.425275,0.00075861,0.90000009,0.08288627,0.00000012,0.000000010149,0.00000001
24,88.809111,0.00183769,0.90000366,0.18705459,0.00000509,0.000000951947,0.00000057
25,92.491899,0.00095316,0.90000034,0.10076388,0.00000047,0.000000047433,0.00000005
26,94.651344,0.00049798,0.90000003,0.05371013,0.00000004,0.000000002200,0.00000000
27,95.870634,0.00109224,0.90000084,0.11350473,0.00000116,0.000000131871,0.00000013
28,98.831194,0.00079586,0.90000031,0.08363293,0.00000044,0.000000036395,0.00000005
29,101.317851,0.00067282,0.90000021,0.07094502,0.00000029,0.000000020686,0.00000003
30,103.725538,0.00042649,0.90000004,0.04547950,0.00000006,0.000000002723,0.00000001
31,105.446623,0.00038473,0.90000004,0.04106340,0.00000005,0.000000002003,0.00000001
32,107.168611,0.00072566,0.90000063,0.07592112,0.00000087,0.000000066217,0.00000010
33,111.029536,0.00013606,0.90000000,0.01468007,0.00000000,0.000000000022,0.00000000
34,111.874659,0.00035297,0.90000006,0.03762072,0.00000008,0.000000003115,0.00000001
35,114.320221,0.00023692,0.90000002,0.02539727,0.00000002,0.000000000576,0.00000000
36,116.226680,0.00027230,0.90000004,0.02912336,0.00000005,0.000000001578,0.00000001
37,118.790783,0.00022727,0.90000003,0.02435900,0.00000004,0.000000000930,0.00000000
38,121.370125,0.00011889,0.90000000,0.01281486,0.00000000,0.000000000050,0.00000000
39,122.946829,0.00008849,0.90000000,0.00955355,0.00000000,0.000000000014,0.00000000
40,124.256819,0.00018480,0.90000003,0.01984521,0.00000004,0.000000000800,0.00000000
41,127.516684,0.00009445,0.90000000,0.01019145,0.00000000,0.000000000043,0.00000000
42,129.578704,0.00005974,0.90000000,0.00645801,0.00000000,0.000000000006,0.00000000
43,131.087689,0.00008118,0.90000000,0.00876517,0.00000000,0.000000000037,0.00000000
44,133.497737,0.00003628,0.90000000,0.00392634,0.00000000,0.000000000001,0.00000000
45,134.756510,0.00007958,0.90000001,0.00859308,0.00000001,0.000000000068,0.00000000
46,138.116042,0.00003075,0.90000000,0.00332943,0.00000000,0.000000000001,0.00000000
47,139.736209,0.00002301,0.90000000,0.00249248,0.00000000,0.000000000000,0.00000000
48,141.123707,0.00002831,0.90000000,0.00306491,0.00000000,0.000000000001,0.00000000
49,143.111846,0.00003288,0.90000000,0.00355921,0.00000000,0.000000000004,0.00000000
50,146.000982,0.00001318,0.90000000,0.00142802,0.00000000,0.000000000000,0.00000000
51,147.422765,0.00002011,0.90000000,0.00217864,0.00000000,0.000000000001,0.00000000
52,150.053520,0.00000561,0.90000000,0.00060787,0.00000000,0.000000000000,0.00000000
53,150.925258,0.00001168,0.90000000,0.00126571,0.00000000,0.000000000000,0.00000000
54,153.024694,0.00001327,0.90000000,0.00143843,0.00000000,0.000000000000,0.00000000
55,156.112909,0.00000504,0.90000000,0.00054618,0.00000000,0.000000000000,0.00000000
56,157.597592,0.00000369,0.90000000,0.00039978,0.00000000,0.000000000000,0.00000000
57,158.849988,0.00000571,0.90000000,0.00061954,0.00000000,0.000000000000,0.00000000
58,161.188964,0.00000360,0.90000000,0.00039035,0.00000000,0.000000000000,0.00000000
59,163.030710,0.00000388,0.90000000,0.00042067,0.00000000,0.000000000000,0.00000000
60,165.537069,0.00000203,0.90000000,0.00021988,0.00000000,0.000000000000,0.00000000
61,167.184440,0.00000193,0.90000000,0.00020934,0.00000000,0.000000000000,0.00000000
62,169.094515,0.00000071,0.90000000,0.00007677,0.00000000,0.000000000000,0.00000000
63,169.911976,0.00000239,0.90000000,0.00025866,0.00000000,0.000000000000,0.00000000
64,173.411537,0.00000069,0.90000000,0.00007465,0.00000000,0.000000000000,0.00000000
65,174.754192,0.00000073,0.90000000,0.00007863,0.00000000,0.000000000000,0.00000000
66,176.441434,0.00000067,0.90000000,0.00007287,0.00000000,0.000000000000,0.00000000
67,178.377408,0.00000043,0.90000000,0.00004703,0.00000000,0.000000000000,0.00000000
68,179.916484,0.00000051,0.90000000,0.00005562,0.00000000,0.000000000000,0.00000000
69,182.207078,0.00000044,0.90000000,0.00004785,0.00000000,0.000000000000,0.00000000
70,184.874468,0.00000010,0.90000000,0.00001048,0.00000000,0.000000000000,0.00000000
71,185.598784,0.00000019,0.90000000,0.00002038,0.00000000,0.000000000000,0.00000000
72,187.228923,0.00000020,0.90000000,0.00002151,0.00000000,0.000000000000,0.00000000
73,189.416159,0.00000017,0.90000000,0.00001891,0.00000000,0.000000000000,0.00000000
74,192.026656,0.00000006,0.90000000,0.00000599,0.00000000,0.000000000000,0.00000000
75,193.079727,0.00000009,0.90000000,0.00001008,0.00000000,0.000000000000,0.00000000
76,195.265397,0.00000005,0.90000000,0.00000577,0.00000000,0.000000000000,0.00000000
77,196.876482,0.00000003,0.90000000,0.00000339,0.00000000,0.000000000000,0.00000000
78,198.015310,0.00000007,0.90000000,0.00000725,0.00000000,0.000000000000,0.00000000
79,201.264752,0.00000002,0.90000000,0.00000200,0.00000000,0.000000000000,0.00000000
80,202.493595,0.00000002,0.90000000,0.00000226,0.00000000,0.000000000000,0.00000000
81,204.189672,0.00000001,0.90000000,0.00000131,0.00000000,0.000000000000,0.00000000
82,205.394697,0.00000002,0.90000000,0.00000212,0.00000000,0.000000000000,0.00000000
83,207.906259,0.00000001,0.90000000,0.00000104,0.00000000,0.000000000000,0.00000000
84,209.576510,0.00000001,0.90000000,0.00000101,0.00000000,0.000000000000,0.00000000
85,211.690863,0.00000001,0.90000000,0.00000060,-0.00000000,-0.000000000000,-0.00000000
86,213.347919,0.00000000,0.90000000,0.00000035,0.00000000,0.000000000000,0.00000000
87,214.547045,0.00000000,0.90000000,0.00000039,0.00000000,0.000000000000,0.00000000
88,216.169539,0.00000000,0.90000000,0.00000050,0.00000000,0.000000000000,0.00000000
89,219.067596,0.00000000,0.90000000,0.00000020,0.00000000,0.000000000000,0.00000000
90,220.714919,0.00000000,0.90000000,0.00000007,0.00000000,0.000000000000,0.00000000
91,221.430706,0.00000000,0.90000000,0.00000020,0.00000000,0.000000000000,0.00000000
92,224.007000,0.00000000,0.90000000,0.00000006,0.00000000,0.000000000000,0.00000000
93,224.983325,0.00000000,0.90000000,0.00000011,-0.00000000,-0.000000000000,-0.00000000
94,227.421444,0.00000000,0.90000000,0.00000006,0.00000000,0.000000000000,0.00000000
95,229.337413,0.00000000,0.90000000,0.00000005,-0.00000000,-0.000000000000,-0.00000000
96,231.250189,0.00000000,0.90000000,0.00000001,0.00000000,0.000000000000,0.00000000
97,231.987235,0.00000000,0.90000000,0.00000003,-0.00000000,-0.000000000000,-0.00000000
98,233.693404,0.00000000,0.90000000,0.00000003,0.00000000,0.000000000000,0.00000000
99,236.524230,0.00000000,0.90000000,0.00000001,0.00000000,0.000000000000,0.00000000
100,237.769820,0.00000000,0.90000000,0.00000001,0.00000000,0.000000000000,0.00000000
101,239.555478,0.00000000,0.90000000,0.00000001,0.00000000,0.000000000000,0.00000000
102,241.049158,0.00000000,0.90000000,0.00000001,0.00000000,0.000000000000,0.00000000
103,242.823272,0.00000000,0.90000000,0.00000000,0.00000000,0.000000000000,0.00000000
104,244.070898,0.00000000,0.90000000,0.00000001,-0.00000000,-0.000000000000,-0.00000000
105,247.136990,0.00000000,0.90000000,0.00000000,-0.00000000,-0.000000000000,-0.00000000
106,248.101990,0.00000000,0.90000000,0.00000000,-0.00000000,-0.000000000000,-0.00000000
107,249.573690,0.00000000,0.90000000,0.00000000,-0.00000000,-0.000000000000,-0.00000000
108,251.014948,0.00000000,0.90000000,0.00000000,-0.00000000,-0.000000000000,-0.00000000
109,253.069987,0.02128624,0.90018062,0.99135610,0.00025139,0.000249216941,0.00002794
110,255.306256,0.00000000,0.90000000,0.00000001,-0.00000000,-0.000000000000,-0.00000000
111,256.380714,0.00000000,0.90000000,0.00000002,-0.00000000,-0.000000000000,-0.00000000
112,258.610439,0.00000000,0.90000000,0.00000001,0.00000000,0.000000000000,0.00000000
113,259.874407,0.00000000,0.90000000,0.00000001,-0.00000000,-0.000000000000,-0.00000000
114,260.805085,0.00000000,0.90000000,0.00000002,0.00000000,0.000000000000,0.00000000
115,263.573894,0.00000000,0.90000000,0.00000001,-0.00000000,-0.000000000000,-0.00000000
