move_index,gamma_from,gamma_to,vector_norm,move_0,move_1,move_2,move_3,move_4,move_5,move_6,move_7,move_8
0,14.134725,21.022040,0.92651296,-0.00000010,-0.00732519,-0.32487193,-0.67059775,0.11742624,0.46071524,0.25816447,0.09708991,0.03172837
1,21.022040,25.010858,0.39986342,-0.00000000,-0.00000000,-0.00008086,-0.07953261,-0.32150163,0.08691288,0.18276694,0.09050019,0.03246732
2,25.010858,30.424876,0.39350476,-0.00000000,-0.00000000,-0.00000002,-0.00502913,-0.25806141,-0.16708911,0.18825058,0.14596331,0.05968815
3,30.424876,32.935062,0.16334596,-0.00000000,-0.00000000,-0.00000000,-0.00002117,-0.03764139,-0.12779334,0.04933182,0.07304166,0.03413471
4,32.935062,37.586178,0.26741758,-0.00000000,-0.00000000,-0.00000000,-0.00000099,-0.01860022,-0.22402282,0.00516338,0.12658502,0.07021070
5,37.586178,40.918719,0.15701011,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00170266,-0.11224813,-0.05421297,0.07803565,0.05496386
6,40.918719,43.327073,0.10246594,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00021291,-0.05332082,-0.05891393,0.04890874,0.04234616
7,43.327073,48.005151,0.18829808,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00005197,-0.05488232,-0.14091308,0.07124372,0.08667141
8,48.005151,49.773832,0.06862200,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000125,-0.00986552,-0.05684491,0.01672384,0.03317560
9,49.773832,52.970321,0.11716045,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000036,-0.00965162,-0.09974386,0.01451078,0.05894080
10,52.970321,56.446248,0.11452266,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000002,-0.00409852,-0.09624301,-0.00591715,0.06165154
11,56.446248,59.347044,0.08509682,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00122808,-0.06646601,-0.01954836,0.04939728
12,59.347044,60.831779,0.04046696,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00028722,-0.02878502,-0.01424407,0.02461749
13,60.831779,65.112544,0.10825253,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00031269,-0.06433141,-0.05379196,0.06845734
14,65.112544,67.079811,0.04739202,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00003857,-0.02136566,-0.02981427,0.03001034
15,67.079811,69.546402,0.05825105,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00001940,-0.02081399,-0.04082464,0.03596264
16,69.546402,72.067158,0.05855325,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000665,-0.01563028,-0.04474005,0.03438757
17,72.067158,75.704691,0.08246620,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000245,-0.01496841,-0.06784152,0.04443140
18,75.704691,77.144840,0.03175347,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000025,-0.00406193,-0.02731681,0.01567084
19,77.144840,79.337375,0.04699187,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000016,-0.00468292,-0.04145707,0.02162446
20,79.337375,82.910381,0.07217621,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000006,-0.00480433,-0.06573768,0.02940886
21,82.910381,84.735493,0.03437861,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000001,-0.00151936,-0.03205589,0.01232884
22,84.735493,87.425275,0.04720304,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00148822,-0.04469018,0.01512282
23,87.425275,88.809111,0.02259951,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00051524,-0.02164140,0.00649015
24,88.809111,92.491899,0.05440781,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00084350,-0.05267169,0.01360852
25,92.491899,94.651344,0.02805753,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00026561,-0.02743056,0.00589227
26,94.651344,95.870634,0.01462056,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00010358,-0.01435640,0.00276474
27,95.870634,98.831194,0.03198590,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00016051,-0.03154081,0.00531505
28,98.831194,101.317851,0.02324610,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00007191,-0.02302073,0.00322834
29,101.317851,103.725538,0.01961880,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00003898,-0.01948258,0.00230759
30,103.725538,105.446623,0.01242276,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00001674,-0.01235835,0.00126336
31,105.446623,107.168611,0.01119858,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00001091,-0.01115319,0.00100721
32,107.168611,111.029536,0.02110486,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00001238,-0.02104724,0.00155845
33,111.029536,111.874659,0.00395502,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000141,-0.00394757,0.00024261
34,111.874659,114.320221,0.01025771,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000265,-0.01024261,0.00055645
35,114.320221,116.226680,0.00688334,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000113,-0.00687615,0.00031448
36,116.226680,118.790783,0.00790979,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000082,-0.00790398,0.00030293
37,118.790783,121.370125,0.00660073,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000040,-0.00659755,0.00020493
38,121.370125,122.946829,0.00345254,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000013,-0.00345137,0.00008984
39,122.946829,124.256819,0.00256977,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000007,-0.00256909,0.00005914
40,124.256819,127.516684,0.00536624,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000009,-0.00536527,0.00010220
41,127.516684,129.578704,0.00274250,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000002,-0.00274219,0.00004111
42,129.578704,131.087689,0.00173461,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000001,-0.00173447,0.00002212
43,131.087689,133.497737,0.00235707,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000001,-0.00235694,0.00002524
44,133.497737,134.756510,0.00105329,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00105325,0.00000948
45,134.756510,138.116042,0.00231064,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00231058,0.00001691
46,138.116042,139.736209,0.00089291,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00089289,0.00000511
47,139.736209,141.123707,0.00066817,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00066816,0.00000330
48,141.123707,143.111846,0.00082186,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00082186,0.00000345
49,143.111846,146.000982,0.00095465,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00095464,0.00000315
50,146.000982,147.422765,0.00038262,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00038261,0.00000101
51,147.422765,150.053520,0.00058395,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00058395,0.00000126
52,150.053520,150.925258,0.00016280,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00016280,0.00000029
53,150.925258,153.024694,0.00033910,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00033910,0.00000052
54,153.024694,156.112909,0.00038541,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00038541,0.00000045
55,156.112909,157.597592,0.00014628,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00014628,0.00000013
56,157.597592,158.849988,0.00010706,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00010706,0.00000008
57,158.849988,161.188964,0.00016593,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00016593,0.00000011
58,161.188964,163.030710,0.00010453,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00010453,0.00000005
59,163.030710,165.537069,0.00011265,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00011265,0.00000004
60,165.537069,167.184440,0.00005888,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00005888,0.00000002
61,167.184440,169.094515,0.00005606,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00005606,0.00000001
62,169.094515,169.911976,0.00002055,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00002055,0.00000000
63,169.911976,173.411537,0.00006926,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00006926,0.00000001
64,173.411537,174.754192,0.00001999,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00001999,0.00000000
65,174.754192,176.441434,0.00002105,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00002105,0.00000000
66,176.441434,178.377408,0.00001951,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00001951,0.00000000
67,178.377408,179.916484,0.00001259,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00001259,0.00000000
68,179.916484,182.207078,0.00001489,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00001489,0.00000000
69,182.207078,184.874468,0.00001281,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00001281,0.00000000
70,184.874468,185.598784,0.00000281,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000281,0.00000000
71,185.598784,187.228923,0.00000546,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000546,0.00000000
72,187.228923,189.416159,0.00000576,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000576,0.00000000
73,189.416159,192.026656,0.00000506,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000506,0.00000000
74,192.026656,193.079727,0.00000160,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000160,0.00000000
75,193.079727,195.265397,0.00000270,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000270,0.00000000
76,195.265397,196.876482,0.00000155,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000155,0.00000000
77,196.876482,198.015310,0.00000091,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000091,0.00000000
78,198.015310,201.264752,0.00000194,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000194,0.00000000
79,201.264752,202.493595,0.00000054,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000054,0.00000000
80,202.493595,204.189672,0.00000061,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000061,0.00000000
81,204.189672,205.394697,0.00000035,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000035,0.00000000
82,205.394697,207.906259,0.00000057,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000057,0.00000000
83,207.906259,209.576510,0.00000028,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000028,0.00000000
84,209.576510,211.690863,0.00000027,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000027,0.00000000
85,211.690863,213.347919,0.00000016,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000016,0.00000000
86,213.347919,214.547045,0.00000009,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000009,0.00000000
87,214.547045,216.169539,0.00000010,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000010,0.00000000
88,216.169539,219.067596,0.00000013,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000013,0.00000000
89,219.067596,220.714919,0.00000005,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000005,0.00000000
90,220.714919,221.430706,0.00000002,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000002,0.00000000
91,221.430706,224.007000,0.00000005,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000005,0.00000000
92,224.007000,224.983325,0.00000002,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000002,0.00000000
93,224.983325,227.421444,0.00000003,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000003,0.00000000
94,227.421444,229.337413,0.00000002,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000002,0.00000000
95,229.337413,231.250189,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000001,0.00000000
96,231.250189,231.987235,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
97,231.987235,233.693404,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000001,0.00000000
98,233.693404,236.524230,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000001,0.00000000
