zero_index,gamma,C_phi,is_convex,norm_center,norm_plus,norm_minus
1,14.134725142,2.616689338e-03,True,7.657020557e+02,7.643598666e+02,7.670468615e+02
101,237.769820481,1.227106265e-07,True,1.986296401e+00,1.985844141e+00,1.986748785e+00
201,397.918736210,1.471484801e-08,True,3.890184750e-01,3.889447695e-01,3.890921952e-01
301,544.323890101,3.377134822e-09,True,1.004479578e-01,1.004296552e-01,1.004662638e-01
401,681.894991533,9.455634123e-10,True,2.886079332e-02,2.885557714e-02,2.886601044e-02
501,812.771108389,2.884749210e-10,True,8.854745717e-03,8.853148146e-03,8.856343576e-03
601,939.660940615,9.172666533e-11,True,2.819225327e-03,2.818716888e-03,2.819733857e-03
701,1064.071551072,2.986269348e-11,True,9.181207807e-04,9.179552165e-04,9.182863748e-04
801,1185.155842847,1.002113551e-11,True,3.081211816e-04,3.080656197e-04,3.081767537e-04
901,1303.273200229,3.454259421e-12,True,1.062106756e-04,1.061915233e-04,1.062298314e-04
1001,1420.416526324,1.201199472e-12,True,3.693437119e-05,3.692771105e-05,3.694103254e-05
1101,1535.769502395,4.245106464e-13,True,1.305283162e-05,1.305047788e-05,1.305518577e-05
1201,1649.118535409,1.527601457e-13,True,4.697062913e-06,4.696215921e-06,4.697910057e-06
1301,1761.854899939,5.527527415e-14,True,1.699602175e-06,1.699295696e-06,1.699908708e-06
1401,1872.441566428,2.039247851e-14,True,6.270273313e-07,6.269142634e-07,6.271404195e-07
1501,1981.748768897,7.610612842e-15,True,2.340109006e-07,2.339687029e-07,2.340531059e-07
1601,2090.447550027,2.855958485e-15,True,8.781491839e-08,8.779908328e-08,8.783075635e-08
1701,2198.687512684,1.076170037e-15,True,3.309003782e-08,3.308407090e-08,3.309600581e-08
1801,2305.508356789,4.107401198e-16,True,1.262942381e-08,1.262714642e-08,1.263170160e-08
1901,2411.126193381,1.584763142e-16,True,4.872825121e-09,4.871946436e-09,4.873703965e-09
2001,2516.571049142,6.124054578e-17,True,1.883022511e-09,1.882682958e-09,1.883362126e-09
2101,2621.429055213,2.379095705e-17,True,7.315235637e-10,7.313916527e-10,7.316554984e-10
2201,2724.523924437,9.390510829e-18,True,2.887391187e-10,2.886870522e-10,2.887911945e-10
2301,2828.029973946,3.692805001e-18,True,1.135462350e-10,1.135257599e-10,1.135667137e-10
2401,2930.711168697,1.463031235e-18,True,4.498523637e-11,4.497712447e-11,4.499334973e-11
2501,3032.756029361,5.829653853e-19,True,1.792500061e-11,1.792176831e-11,1.792823350e-11
2601,3133.398883823,2.352459964e-19,True,7.233336199e-12,7.232031857e-12,7.234640775e-12
2701,3234.306591245,9.470316435e-20,True,2.911930135e-12,2.911405045e-12,2.912455319e-12
2801,3335.045996424,3.818263728e-20,True,1.174038469e-12,1.173826762e-12,1.174250214e-12
2901,3434.432930181,1.558345165e-20,True,4.791594123e-13,4.790730085e-13,4.792458316e-13
3001,3534.062588280,6.346156721e-21,True,1.951314195e-13,1.950962327e-13,1.951666126e-13
3101,3633.440157775,2.590271331e-21,True,7.964556013e-14,7.963119815e-14,7.965992470e-14
3201,3731.652937303,1.068417231e-21,True,3.285165788e-14,3.284573395e-14,3.285758288e-14
3301,3830.161823923,4.395183751e-22,True,1.351429664e-14,1.351185969e-14,1.351673403e-14
3401,3928.142218295,1.816698181e-22,True,5.585977673e-15,5.584970389e-15,5.586985138e-15
3501,4025.583199027,7.545723639e-23,True,2.320156628e-15,2.319738249e-15,2.320575082e-15
3601,4121.794658787,3.169085393e-23,True,9.744291213e-16,9.742534087e-16,9.746048656e-16
3701,4219.086410356,1.318063816e-23,True,4.052777386e-16,4.052046574e-16,4.053508329e-16
3801,4315.573741806,5.521905444e-24,True,1.697873686e-16,1.697567519e-16,1.698179908e-16
3901,4411.715201531,2.320577802e-24,True,7.135303500e-17,7.134016836e-17,7.136590396e-17
4001,4507.745182883,9.762017254e-25,True,3.001622528e-17,3.001081265e-17,3.002163889e-17
4101,4602.256123514,4.163245228e-25,True,1.280113013e-17,1.279882178e-17,1.280343889e-17
4201,4697.774403761,1.759459493e-25,True,5.409981441e-18,5.409005894e-18,5.410957165e-18
4301,4792.408824019,7.495284931e-26,True,2.304647249e-18,2.304231666e-18,2.305062906e-18
4401,4887.198480647,3.188518386e-26,True,9.804043667e-19,9.802275766e-19,9.805811886e-19
4501,4981.192703747,1.366169085e-26,True,4.200693113e-19,4.199935629e-19,4.201450734e-19
4601,5074.911470243,5.868118355e-27,True,1.804327504e-19,1.804002141e-19,1.804652925e-19
4701,5169.070194564,2.510559870e-27,True,7.719459540e-20,7.718067539e-20,7.720851792e-20
4801,5262.848835686,1.077780538e-27,True,3.313956770e-20,3.313359185e-20,3.314554463e-20
4901,5355.347063677,4.680633224e-28,True,1.439199236e-20,1.438939714e-20,1.439458804e-20
5001,5448.908413286,2.013332347e-28,True,6.190586320e-21,6.189470011e-21,6.191702830e-21
5101,5541.576351544,8.730215386e-29,True,2.684363185e-21,2.683879131e-21,2.684847326e-21
5201,5634.370016212,3.781306793e-29,True,1.162675218e-21,1.162465560e-21,1.162884914e-21
5301,5726.233386879,1.651589499e-29,True,5.078303092e-22,5.077387354e-22,5.079218995e-22
5401,5818.292158757,7.201074632e-30,True,2.214183562e-22,2.213784292e-22,2.214582904e-22
5501,5910.297428640,3.141243720e-30,True,9.658688110e-23,9.656946420e-23,9.660430113e-23
