T,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,spectral_gap,gap_ratio_l6_l7,trailing_energy,proj_error,proj_error_bound,gap_ok,error_lt_bound,c_phi_9d,c_phi_6d,convexity_9d_6d_diff,phi_move,ellipsoid_6d_norm,ellipsoid_9d_norm,is_near_zero,nearest_zero_dist,gamma_approx
3.5,370.38642395,1.30713953,0.00504853,2.328e-05,0.0,0.0,0.0,0.0,0.0,0.0,35176.079698,0.0,1.87618162,0.0,1,0,0.69387318,0.41632391,0.27754927,-1.508463,1.232191,4.868721,1,0.18,33.115
3.6609,468.8870662,1.59389796,0.00734383,2.313e-05,0.0,0.0,0.0,0.0,0.0,0.0,52290.445708,0.0,1.89520851,0.0,1,0,0.67067351,0.4024041,0.2682694,-0.103212,1.241454,4.893092,1,1.309,38.895
3.8217,594.67879461,1.95517375,0.0105336,2.188e-05,0.0,0.0,0.0,0.0,0.0,0.0,46051889.972955,0.0,1.9072172,0.0,1,0,0.64377327,0.38626396,0.25750931,-0.115071,1.250384,4.916529,0,2.322,45.684
3.9826,755.18753203,2.42105322,0.01464492,1.991e-05,0.0,0.0,0.0,0.0,0.0,0.0,337805.776101,0.0,1.92638674,0.0,1,0,0.61346768,0.36808061,0.24538707,-1.266313,1.259006,4.939104,1,0.687,53.657
4.1435,959.73864245,3.03314984,0.01949,1.754e-05,0.0,0.0,0.0,0.0,0.0,0.0,8479.776675,0.0,1.94563666,0.0,1,0,0.58006512,0.34803907,0.23202605,-0.135273,1.267343,4.960884,0,2.091,63.022
4.3043,1219.96694902,3.84485658,0.02463022,1.502e-05,0.0,0.0,0.0,0.0,0.0,0.0,95542028.4242,0.0,1.95116287,0.0,1,0,0.54388472,0.32633083,0.21755389,-0.143417,1.275414,4.981924,0,8.908,74.021
4.4652,1550.22893328,4.91809518,0.02944265,1.25e-05,0.0,0.0,0.0,0.0,0.0,0.0,6956964.273111,0.0,1.95401236,0.0,1,0,0.50525389,0.30315233,0.20210156,-0.150145,1.283238,5.002276,0,21.827,86.94
4.6261,1967.91279656,6.31460784,0.03327671,1.014e-05,0.0,0.0,0.0,0.0,0.0,0.0,434751193.324503,0.0,1.97895072,0.0,1,0,0.46450588,0.27870353,0.18580235,-0.155389,1.29083,5.021987,0,37.001,102.114
4.787,2493.44741861,8.08050366,0.03562563,8e-06,0.0,0.0,0.0,0.0,0.0,0.0,72039.740937,0.0,1.97902912,0.0,1,0,0.42197741,0.25318645,0.16879096,-0.159099,1.298205,5.041097,0,54.823,119.936
4.9478,3149.68070167,10.22471495,0.03623438,6.13e-06,0.0,0.0,0.0,0.0,0.0,0.0,52832.76678,0.0,2.00282822,0.0,1,0,0.37800632,0.22680379,0.15120253,-0.161237,1.305376,5.059645,0,75.756,140.868
5.1087,3960.14986776,12.69523154,0.03511797,4.56e-06,0.0,0.0,0.0,0.0,0.0,0.0,151803.180121,0.0,2.01593605,0.0,1,0,0.33292928,0.19975757,0.13317171,-0.161783,1.312356,5.077665,0,100.342,165.454
5.2696,4945.65341569,15.36051055,0.03251274,3.3e-06,0.0,0.0,0.0,0.0,0.0,0.0,1791.496752,0.0,2.05181779,0.0,1,0,0.28707966,0.17224779,0.11483186,-0.160731,1.319155,5.095187,0,129.219,194.331
5.4304,6118.5544775,18.00537224,0.02879777,2.3e-06,0.0,0.0,0.0,0.0,0.0,0.0,8443.563802,0.0,2.05337332,0.0,1,0,0.24078534,0.1444712,0.09631414,-0.158092,1.325783,5.11224,0,163.136,228.248
5.5913,7474.53712946,20.34900561,0.02441411,1.56e-06,0.0,0.0,0.0,0.0,0.0,0.0,405.954088,0.0,2.09203485,0.0,1,0,0.1943668,0.11662008,0.07774672,-0.153891,1.332249,5.128849,0,202.973,268.085
5.7522,8982.24380171,22.08685723,0.0197956,1.02e-06,0.0,0.0,0.0,0.0,0.0,0.0,17598.768144,0.0,1.93421593,0.0,1,0,0.14813518,0.08888111,0.05925407,-0.14817,1.338563,5.145039,0,249.762,314.874
5.913,10572.40828187,22.94985848,0.0153171,6.5e-07,0.0,0.0,0.0,0.0,0.0,0.0,42034.167102,0.0,2.06377937,0.0,1,0,0.10239052,0.06143431,0.04095621,-0.140986,1.34473,5.160832,0,304.717,369.83
6.0739,12129.63160055,22.76695366,0.01126174,4e-07,0.0,0.0,0.0,0.0,0.0,0.0,11389.402224,0.0,2.08221399,0.0,1,0,0.05742016,0.0344521,0.02296806,-0.132409,1.35076,5.176247,0,369.265,434.377
6.2348,13491.3813157,21.51342404,0.00780733,2.5e-07,0.0,0.0,0.0,0.0,0.0,0.0,772839.411922,0.0,2.07801356,0.0,1,0,0.01349721,0.00809832,0.00539888,-0.122524,1.356657,5.191303,0,445.077,510.19
6.3957,14459.34855905,19.32967114,0.00503046,1.7e-07,0.0,0.0,0.0,0.0,0.0,0.0,5640.535605,0.0,2.09345749,0.0,1,0,0.03017664,0.01810598,0.01207066,-0.11143,1.36243,5.206018,0,534.121,599.234
6.5565,14827.0339693,16.50253174,0.00292601,1.5e-07,0.0,0.0,0.0,0.0,0.0,0.0,1723.844306,0.0,2.14200851,0.0,1,0,0.07125542,0.04275325,0.02850217,-0.099235,1.368082,5.220408,0,638.707,703.819
6.7174,14423.68167986,13.41197526,0.00143977,2e-07,0.0,0.0,0.0,0.0,0.0,0.0,13569.630868,0.0,2.06279922,0.0,1,0,0.11056564,0.06633938,0.04422625,-0.086059,1.373621,5.234487,0,761.546,826.658
6.8783,13168.61521576,10.45785013,0.00051422,5.2e-07,0.0,0.0,0.0,0.0,0.0,0.0,966028.585215,0.0,2.1451643,0.0,1,0,0.14790316,0.0887419,0.05916126,-0.072034,1.379049,5.248269,0,905.824,970.936
7.0391,11123.13325214,7.99301063,0.0001491,2.11e-06,0.0,0.0,0.0,0.0,0.0,0.0,8723.758229,0.0,2.13982995,0.0,1,0,0.18308339,0.10985003,0.07323335,-0.057297,1.384373,5.261768,0,1075.283,1140.396
7.2,8522.13788659,6.30469808,0.00045636,8e-07,0.0,0.0,0.0,0.0,0.0,0.0,6225.820291,0.0,2.12921419,0.0,1,0,0.21594182,0.12956509,0.08637673,-0.041994,1.389597,5.274995,0,1274.318,1339.431
