T,R_rel,S_T,Q6_Q9,stable,circa_ratio,trap_active,cheb
3.5,0.0605803553,1.00184,0.99816332,1,0.0,0,0.984544
3.5769,0.0580289565,1.001688,0.9983149,1,0.0,0,0.91165
3.6538,0.0555471449,1.001546,0.99845607,1,0.0,0,0.937644
3.7308,0.0531355669,1.001415,0.99858731,1,0.0,0,0.957252
3.8077,0.0507947663,1.001293,0.99870911,1,0.0,0,0.969875
3.8846,0.0485251733,1.001179,0.99882196,1,0.0,0,0.977209
3.9615,0.0463270934,1.001075,0.99892632,1,0.0,0,0.941895
4.0385,0.0442006972,1.000978,0.99902267,1,0.0,0,0.942133
4.1154,0.0421460112,1.000889,0.99911146,1,0.0,0,1.006011
4.1923,0.0401629104,1.000808,0.99919314,1,0.0,0,0.942001
4.2692,0.0382511132,1.000732,0.99926816,1,1.531604,1,0.990736
4.3462,0.0364101779,1.000664,0.99933693,1,0.0,0,0.972973
4.4231,0.0346395032,1.0006,0.99939987,1,0.0,0,1.019551
4.5,0.0329383301,1.000543,0.99945739,1,0.0,0,0.993929
4.5769,0.031305748,1.00049,0.99950985,1,0.0,0,0.967397
4.6538,0.0297407027,1.000443,0.99955765,1,1.593272,1,0.983876
4.7308,0.0282420072,1.000399,0.99960111,1,0.0,0,1.035314
4.8077,0.0268083546,1.00036,0.99964059,1,0.0,0,0.978243
4.8846,0.0254383333,1.000324,0.99967639,1,0.0,0,0.996726
4.9615,0.0241304421,1.000291,0.99970882,1,0.0,0,0.991931
5.0385,0.0228831077,1.000262,0.99973815,1,0.0,0,0.983465
5.1154,0.0216947011,1.000235,0.99976464,1,0.0,0,0.971587
5.1923,0.0205635542,1.000211,0.99978855,1,1.679374,1,0.999848
5.2692,0.019487975,1.00019,0.99981009,1,0.0,0,1.006707
5.3462,0.0184662623,1.000171,0.99982948,1,0.0,0,0.982584
5.4231,0.0174967174,1.000153,0.99984692,1,0.0,0,0.95732
5.5,0.0165776554,1.000137,0.99986258,1,0.0,0,1.002381
5.5769,0.0157074128,1.000123,0.99987663,1,1.746991,1,0.993783
5.6538,0.014884354,1.000111,0.99988922,1,0.0,0,1.018683
5.7308,0.0141068753,1.0001,0.99990049,1,0.0,0,0.989465
5.8077,0.0133734072,1.000089,0.99991057,1,0.0,0,0.985447
5.8846,0.0126824149,1.00008,0.99991957,1,0.0,0,0.999338
5.9615,0.0120323983,1.000072,0.99992761,1,0.0,0,0.994015
6.0385,0.0114218902,1.000065,0.99993477,1,0.0,0,0.991959
6.1154,0.010849455,1.000059,0.99994114,1,0.0,0,0.999052
6.1923,0.0103136873,1.000053,0.99994681,1,0.0,0,1.000552
6.2692,0.0098132111,1.000048,0.99995185,1,0.0,0,0.998566
6.3462,0.0093466791,1.000044,0.99995632,1,0.0,0,0.985537
6.4231,0.0089127738,1.00004,0.99996028,1,0.0,0,0.995515
6.5,0.0085102095,1.000036,0.99996379,1,1.915541,1,1.01168
