sigma,T,rho,one_plus_rho,d2_sigma,d_sigma_sq,cs_bound,cs_ratio_ub,passes_pos
0.3,10.0,1.31640741,2.31640741,63.05757604,13.61107202,957.679279,70.360312,1
0.3,14.134,1.24030681,2.24030681,159.15484192,35.52076912,957.679279,26.961108,1
0.3,21.022,1.24062765,2.24062765,171.55987214,38.28388717,957.679279,25.015205,1
0.3,25.0,1.00427185,2.00427185,81.21527448,20.26054357,957.679279,47.268193,1
0.3,30.0,1.31376931,2.31376931,109.92042265,23.75353976,957.679279,40.317329,1
0.3,50.0,1.3230345,2.3230345,283.85148406,61.09497823,957.679279,15.675254,1
0.3,100.0,0.94668078,1.94668078,25.9008077,6.6525565,957.679279,143.95658,1
0.3,200.0,0.63247409,1.63247409,89.05858752,27.27718255,957.679279,35.109171,1
0.3,500.0,1.1841503,2.1841503,207.40018914,47.47846095,957.679279,20.170816,1
0.3,1000.0,0.80132466,1.80132466,19.363682,5.37484509,957.679279,178.178024,1
0.4,10.0,1.35607244,2.35607244,33.77591833,7.16784376,496.505329,69.268436,1
0.4,14.134,1.26002023,2.26002023,104.33549205,23.08286683,496.505329,21.509691,1
0.4,21.022,1.26222627,2.26222627,101.46967063,22.42694995,496.505329,22.138781,1
0.4,25.0,1.01929821,2.01929821,51.4583831,12.74165028,496.505329,38.967113,1
0.4,30.0,1.34290408,2.34290408,69.28924582,14.78704277,496.505329,33.577054,1
0.4,50.0,1.37607469,2.37607469,154.410691,32.49281083,496.505329,15.280467,1
0.4,100.0,1.00612622,2.00612622,17.38080927,4.33193314,496.505329,114.615187,1
0.4,200.0,0.50941943,1.50941943,34.68035825,11.48797928,496.505329,43.219553,1
0.4,500.0,1.24449003,2.24449003,104.16332531,23.20422991,496.505329,21.397191,1
0.4,1000.0,0.77803043,1.77803043,11.95267922,3.36121334,496.505329,147.716101,1
0.5,10.0,1.38710777,2.38710777,18.6405754,3.90442685,263.131891,67.393218,1
0.5,14.134,1.27613583,2.27613583,69.26482429,15.21544172,263.131891,17.29374,1
0.5,21.022,1.28164535,2.28164535,61.15232064,13.40092595,263.131891,19.635351,1
0.5,25.0,1.03165495,2.03165495,32.74313982,8.05824332,263.131891,32.653754,1
0.5,30.0,1.3684908,2.3684908,44.5195902,9.39830337,263.131891,27.997808,1
0.5,50.0,1.42771336,2.42771336,86.33092235,17.78029561,263.131891,14.799073,1
0.5,100.0,1.061401,2.061401,11.37221994,2.75837159,263.131891,95.393924,1
0.5,200.0,0.39597961,1.39597961,14.54111594,5.20821215,263.131891,50.522499,1
0.5,500.0,1.31775532,2.31775532,53.7099562,11.58663204,263.131891,22.709955,1
0.5,1000.0,0.72362582,1.72362582,7.15529791,2.07565292,263.131891,126.77066,1
0.6,10.0,1.40627215,2.40627215,10.58818573,2.20012223,142.713795,64.866303,1
0.6,14.134,1.28845756,2.28845756,46.58947986,10.17923179,142.713795,14.020095,1
0.6,21.022,1.29812638,2.29812638,37.55573006,8.17094533,142.713795,17.466008,1
0.6,25.0,1.04141301,2.04141301,20.94720268,5.13056461,142.713795,27.816392,1
0.6,30.0,1.38924855,2.38924855,29.16139643,6.1026293,142.713795,23.385624,1
0.6,50.0,1.4738952,2.4738952,49.67387746,10.03960826,142.713795,14.215076,1
0.6,100.0,1.11751227,2.11751227,7.31632439,1.72757544,142.713795,82.609298,1
0.6,200.0,0.35484747,1.35484747,7.29509891,2.69222147,142.713795,53.009679,1
0.6,500.0,1.40085029,2.40085029,28.62269135,5.96094882,142.713795,23.941456,1
0.6,1000.0,0.63603285,1.63603285,4.11634888,1.25802758,142.713795,113.442502,1
0.7,10.0,1.41134578,2.41134578,6.18266661,1.28199503,79.281216,61.842062,1
0.7,14.134,1.29690899,2.29690899,31.76142428,6.91394923,79.281216,11.46685,1
0.7,21.022,1.31104231,2.31104231,23.50286344,5.0849055,79.281216,15.591483,1
0.7,25.0,1.04856738,2.04856738,13.48864761,3.29221478,79.281216,24.081423,1
0.7,30.0,1.40417427,2.40417427,19.4700409,4.04921581,79.281216,19.5794,1
0.7,50.0,1.51042815,2.51042815,29.43867814,5.86327837,79.281216,13.521653,1
0.7,100.0,1.17796806,2.17796806,4.65695918,1.0691064,79.281216,74.156526,1
0.7,200.0,0.4269923,1.4269923,4.69558628,1.64527387,79.281216,48.187246,1
0.7,500.0,1.48617358,2.48617358,15.86306358,3.19025664,79.281216,24.851046,1
0.7,1000.0,0.5087616,1.5087616,2.25454803,0.74715185,79.281216,106.11125,1
