sigma,T,fourth_order_sum_analytic,fourth_order_sum_fd,EQ3L3_residual,K4,h0,K4_upper_bound,UBE_h0_safe
0.3,10.0,2873.334172,2873.312255,2.192e-02,239.44451437,inf,14374.873151,1
0.3,14.134,3140.278808,3140.375071,9.626e-02,261.68990068,inf,14374.873151,1
0.3,21.022,5334.068998,5334.170439,1.014e-01,444.50574986,inf,14374.873151,1
0.3,25.0,1683.399909,1683.233108,1.668e-01,140.28332573,inf,14374.873151,1
0.3,30.0,2714.645023,2714.335423,3.096e-01,226.22041858,inf,14374.873151,1
0.3,50.0,12031.669288,12030.234586,1.435e+00,1002.6391073,inf,14374.873151,1
0.3,100.0,268.7787,268.636668,1.420e-01,22.39822501,inf,14374.873151,1
0.3,200.0,7977.351884,7975.824445,1.527e+00,664.77932364,inf,14374.873151,1
0.3,500.0,10754.69336,10752.748025,1.945e+00,896.22444669,inf,14374.873151,1
0.3,1000.0,454.352137,457.078819,2.727e+00,37.86267812,inf,14374.873151,1
0.4,10.0,1414.79463,1414.76697,2.766e-02,117.89955251,inf,6991.788105,1
0.4,14.134,1964.97555,1965.09653,1.210e-01,163.74796251,inf,6991.788105,1
0.4,21.022,2961.742401,2961.823675,8.127e-02,246.81186675,inf,6991.788105,1
0.4,25.0,1057.675553,1057.544718,1.308e-01,88.13962944,inf,6991.788105,1
0.4,30.0,1597.703741,1597.528332,1.754e-01,133.14197841,inf,6991.788105,1
0.4,50.0,6096.333849,6095.502769,8.311e-01,508.02782077,inf,6991.788105,1
0.4,100.0,246.689488,246.592302,9.719e-02,20.55745731,inf,6991.788105,1
0.4,200.0,3038.862732,3037.895713,9.670e-01,253.23856097,inf,6991.788105,1
0.4,500.0,5157.622825,5156.201244,1.422e+00,429.80190211,inf,6991.788105,1
0.4,1000.0,285.920806,287.132262,1.211e+00,23.82673385,inf,6991.788105,1
0.5,10.0,716.160388,716.150472,9.916e-03,59.68003237,inf,3453.890094,1
0.5,14.134,1238.893981,1238.968927,7.495e-02,103.24116508,inf,3453.890094,1
0.5,21.022,1671.143389,1671.184524,4.113e-02,139.2619491,inf,3453.890094,1
0.5,25.0,664.314032,664.275301,3.873e-02,55.35950266,inf,3453.890094,1
0.5,30.0,953.165974,953.082058,8.392e-02,79.4304978,inf,3453.890094,1
0.5,50.0,3149.247064,3148.723948,5.231e-01,262.43725531,inf,3453.890094,1
0.5,100.0,192.475659,192.40376,7.190e-02,16.03963827,inf,3453.890094,1
0.5,200.0,1109.657588,1109.061287,5.963e-01,92.47146566,inf,3453.890094,1
0.5,500.0,2497.907737,2496.934659,9.731e-01,208.15897808,inf,3453.890094,1
0.5,1000.0,189.128183,189.599392,4.712e-01,15.76068193,inf,3453.890094,1
0.6,10.0,372.619588,372.61505,4.538e-03,31.05163232,inf,1735.260777,1
0.6,14.134,787.713933,787.714782,8.493e-04,65.64282775,inf,1735.260777,1
0.6,21.022,958.268668,958.268132,5.366e-04,79.85572235,inf,1735.260777,1
0.6,25.0,417.259613,417.21715,4.246e-02,34.77163445,inf,1735.260777,1
0.6,30.0,577.062164,577.03442,2.774e-02,48.08851363,inf,1735.260777,1
0.6,50.0,1661.323211,1660.984683,3.385e-01,138.44360088,inf,1735.260777,1
0.6,100.0,138.147625,138.096978,5.065e-02,11.51230205,inf,1735.260777,1
0.6,200.0,378.540459,378.137299,4.032e-01,31.54503824,inf,1735.260777,1
0.6,500.0,1225.850734,1225.188617,6.621e-01,102.15422786,inf,1735.260777,1
0.6,1000.0,123.832522,123.974123,1.416e-01,10.31937681,inf,1735.260777,1
0.7,10.0,199.093529,199.098293,4.765e-03,16.59112738,inf,887.82468,1
0.7,14.134,505.487674,505.528508,4.083e-02,42.12397281,inf,887.82468,1
0.7,21.022,558.432395,558.420865,1.153e-02,46.53603289,inf,887.82468,1
0.7,25.0,262.34198,262.310618,3.136e-02,21.86183166,inf,887.82468,1
0.7,30.0,354.82632,354.793528,3.279e-02,29.56886002,inf,887.82468,1
0.7,50.0,896.102406,895.91734,1.851e-01,74.67520051,inf,887.82468,1
0.7,100.0,94.324619,94.290076,3.454e-02,7.86038495,inf,887.82468,1
0.7,200.0,114.486926,114.223297,2.636e-01,9.5405772,inf,887.82468,1
0.7,500.0,612.102059,611.652284,4.498e-01,51.00850492,inf,887.82468,1
0.7,1000.0,78.546383,78.554017,7.634e-03,6.54553193,inf,887.82468,1
