sigma,T,d2_sigma,d2_T,ube_sum,ube_analytic,residual,passes_identity,h_ube,Ds_norm_sq
0.4,10.0,33.77591833,-5.10454328,28.67137505,28.67137505,3.553e-15,1,0.105343,7.16784376
0.4,14.134,104.33549205,-12.00402472,92.33146733,92.33146733,1.421e-14,1,0.189041,23.08286683
0.4,21.022,101.46967063,-11.76187082,89.70779981,89.70779981,0.000e+00,1,0.186336,22.42694995
0.4,50.0,154.410691,-24.4394477,129.9712433,129.9712433,2.842e-14,1,0.224287,32.49281083
0.4,100.0,17.38080927,-0.05307671,17.32773256,17.32773256,3.553e-15,1,0.081894,4.33193314
0.5,10.0,18.6405754,-3.02286798,15.61770742,15.61770742,1.776e-15,1,0.142678,3.90442685
0.5,14.134,69.26482429,-8.40305741,60.86176689,60.86176689,7.105e-15,1,0.281657,15.21544172
0.5,21.022,61.15232064,-7.54861686,53.60370378,53.60370378,7.105e-15,1,0.264329,13.40092595
0.5,50.0,86.33092235,-15.2097399,71.12118245,71.12118245,1.421e-14,1,0.304472,17.78029561
0.5,100.0,11.37221994,-0.33873357,11.03348637,11.03348637,0.000e+00,1,0.119923,2.75837159
0.6,10.0,10.58818573,-1.7876968,8.80048893,8.80048893,0.000e+00,1,0.188445,2.20012223
0.6,14.134,46.58947986,-5.87255269,40.71692717,40.71692717,0.000e+00,1,0.40534,10.17923179
0.6,21.022,37.55573006,-4.87194873,32.68378133,32.68378133,0.000e+00,1,0.36316,8.17094533
0.6,50.0,49.67387746,-9.51544442,40.15843303,40.15843303,0.000e+00,1,0.402551,10.03960826
0.6,100.0,7.31632439,-0.40602262,6.91030178,6.91030178,0.000e+00,1,0.166986,1.72757544
