E,E_at_half,E_at_sigma_sym,E_at_sigma_test,E_min_strip,T,check,contradicted,contradiction_gap,d2E_at_half,d2E_sigma,one_plus_rho,pass,proposition,sigma,sigma_sym,sigma_test
2.15505693,,,,,10.0,"E(σ,T) = |D|² ≥ 0  (non-negativity, trivial)",,,,,,1,EQ4.1,0.3,,
11.68229702,,,,,14.134,"E(σ,T) = |D|² ≥ 0  (non-negativity, trivial)",,,,,,1,EQ4.1,0.3,,
7.92839853,,,,,21.022,"E(σ,T) = |D|² ≥ 0  (non-negativity, trivial)",,,,,,1,EQ4.1,0.3,,
4.37792456,,,,,25.0,"E(σ,T) = |D|² ≥ 0  (non-negativity, trivial)",,,,,,1,EQ4.1,0.3,,
7.27327435,,,,,30.0,"E(σ,T) = |D|² ≥ 0  (non-negativity, trivial)",,,,,,1,EQ4.1,0.3,,
10.30598448,,,,,50.0,"E(σ,T) = |D|² ≥ 0  (non-negativity, trivial)",,,,,,1,EQ4.1,0.3,,
1.42584621,,,,,100.0,"E(σ,T) = |D|² ≥ 0  (non-negativity, trivial)",,,,,,1,EQ4.1,0.3,,
3.51874544,,,,,200.0,"E(σ,T) = |D|² ≥ 0  (non-negativity, trivial)",,,,,,1,EQ4.1,0.3,,
1.33127889,,,,,10.0,"E(σ,T) = |D|² ≥ 0  (non-negativity, trivial)",,,,,,1,EQ4.1,0.4,,
8.31664877,,,,,14.134,"E(σ,T) = |D|² ≥ 0  (non-negativity, trivial)",,,,,,1,EQ4.1,0.4,,
5.16910093,,,,,21.022,"E(σ,T) = |D|² ≥ 0  (non-negativity, trivial)",,,,,,1,EQ4.1,0.4,,
2.89955919,,,,,25.0,"E(σ,T) = |D|² ≥ 0  (non-negativity, trivial)",,,,,,1,EQ4.1,0.4,,
5.13336168,,,,,30.0,"E(σ,T) = |D|² ≥ 0  (non-negativity, trivial)",,,,,,1,EQ4.1,0.4,,
6.45609292,,,,,50.0,"E(σ,T) = |D|² ≥ 0  (non-negativity, trivial)",,,,,,1,EQ4.1,0.4,,
0.92876296,,,,,100.0,"E(σ,T) = |D|² ≥ 0  (non-negativity, trivial)",,,,,,1,EQ4.1,0.4,,
2.62646784,,,,,200.0,"E(σ,T) = |D|² ≥ 0  (non-negativity, trivial)",,,,,,1,EQ4.1,0.4,,
0.85674638,,,,,10.0,"E(σ,T) = |D|² ≥ 0  (non-negativity, trivial)",,,,,,1,EQ4.1,0.5,,
6.01062659,,,,,14.134,"E(σ,T) = |D|² ≥ 0  (non-negativity, trivial)",,,,,,1,EQ4.1,0.5,,
3.44887362,,,,,21.022,"E(σ,T) = |D|² ≥ 0  (non-negativity, trivial)",,,,,,1,EQ4.1,0.5,,
1.94487943,,,,,25.0,"E(σ,T) = |D|² ≥ 0  (non-negativity, trivial)",,,,,,1,EQ4.1,0.5,,
3.69936822,,,,,30.0,"E(σ,T) = |D|² ≥ 0  (non-negativity, trivial)",,,,,,1,EQ4.1,0.5,,
4.20024287,,,,,50.0,"E(σ,T) = |D|² ≥ 0  (non-negativity, trivial)",,,,,,1,EQ4.1,0.5,,
0.60759181,,,,,100.0,"E(σ,T) = |D|² ≥ 0  (non-negativity, trivial)",,,,,,1,EQ4.1,0.5,,
2.10829462,,,,,200.0,"E(σ,T) = |D|² ≥ 0  (non-negativity, trivial)",,,,,,1,EQ4.1,0.5,,
0.57438155,,,,,10.0,"E(σ,T) = |D|² ≥ 0  (non-negativity, trivial)",,,,,,1,EQ4.1,0.6,,
4.40746871,,,,,14.134,"E(σ,T) = |D|² ≥ 0  (non-negativity, trivial)",,,,,,1,EQ4.1,0.6,,
2.35387046,,,,,21.022,"E(σ,T) = |D|² ≥ 0  (non-negativity, trivial)",,,,,,1,EQ4.1,0.6,,
