n,sigma,T,delta,li_value,positive,strictly_positive
1,0.5,10.0,0.05,3.52532554e-02,1,1
1,0.5,20.0,0.05,2.17528435e-02,1,1
1,0.5,50.0,0.05,1.64259397e-01,1,1
1,0.5,100.0,0.05,2.29286382e-02,1,1
1,0.5,200.0,0.05,2.53824817e-02,1,1
1,0.5,14.1347,0.05,1.42324278e-01,1,1
1,0.5,21.022,0.05,1.20166164e-01,1,1
1,0.5,25.0109,0.05,6.63773034e-02,1,1
1,0.5,30.4249,0.05,9.30026077e-02,1,1
1,0.5,32.9351,0.05,7.48195022e-02,1,1
1,0.5,37.5862,0.05,1.20785946e-01,1,1
1,0.5,40.9187,0.05,1.03244042e-01,1,1
1,0.5,43.3271,0.05,1.12240991e-01,1,1
2,0.5,10.0,0.05,4.85803347e-02,1,1
2,0.5,20.0,0.05,3.09261936e-02,1,1
2,0.5,50.0,0.05,2.26765948e-01,1,1
2,0.5,100.0,0.05,3.21101775e-02,1,1
2,0.5,200.0,0.05,3.46133254e-02,1,1
2,0.5,14.1347,0.05,2.00776996e-01,1,1
2,0.5,21.022,0.05,1.67353470e-01,1,1
2,0.5,25.0109,0.05,9.29385433e-02,1,1
2,0.5,30.4249,0.05,1.30373726e-01,1,1
2,0.5,32.9351,0.05,1.04938314e-01,1,1
2,0.5,37.5862,0.05,1.65589886e-01,1,1
2,0.5,40.9187,0.05,1.43723802e-01,1,1
2,0.5,43.3271,0.05,1.54643429e-01,1,1
3,0.5,10.0,0.05,5.53444839e-02,1,1
3,0.5,20.0,0.05,3.61416357e-02,1,1
3,0.5,50.0,0.05,2.58715991e-01,1,1
3,0.5,100.0,0.05,3.69992614e-02,1,1
3,0.5,200.0,0.05,3.93877730e-02,1,1
3,0.5,14.1347,0.05,2.32893673e-01,1,1
3,0.5,21.022,0.05,1.92176474e-01,1,1
3,0.5,25.0109,0.05,1.07134116e-01,1,1
3,0.5,30.4249,0.05,1.50480293e-01,1,1
3,0.5,32.9351,0.05,1.21165100e-01,1,1
3,0.5,37.5862,0.05,1.87853526e-01,1,1
3,0.5,40.9187,0.05,1.65004144e-01,1,1
3,0.5,43.3271,0.05,1.76115728e-01,1,1
5,0.5,10.0,0.05,6.16333758e-02,1,1
5,0.5,20.0,0.05,4.18469934e-02,1,1
5,0.5,50.0,0.05,2.88750490e-01,1,1
5,0.5,100.0,0.05,4.17832059e-02,1,1
5,0.5,200.0,0.05,4.43889638e-02,1,1
5,0.5,14.1347,0.05,2.66036434e-01,1,1
5,0.5,21.022,0.05,2.16341497e-01,1,1
5,0.5,25.0109,0.05,1.21189571e-01,1,1
5,0.5,30.4249,0.05,1.70660899e-01,1,1
5,0.5,32.9351,0.05,1.37473207e-01,1,1
5,0.5,37.5862,0.05,2.07875836e-01,1,1
5,0.5,40.9187,0.05,1.85726276e-01,1,1
5,0.5,43.3271,0.05,1.95970821e-01,1,1
10,0.5,10.0,0.05,6.58104278e-02,1,1
10,0.5,20.0,0.05,4.72121960e-02,1,1
10,0.5,50.0,0.05,3.09299692e-01,1,1
10,0.5,100.0,0.05,4.51493109e-02,1,1
10,0.5,200.0,0.05,4.95820496e-02,1,1
10,0.5,14.1347,0.05,2.92938746e-01,1,1
10,0.5,21.022,0.05,2.33810488e-01,1,1
10,0.5,25.0109,0.05,1.31538348e-01,1,1
10,0.5,30.4249,0.05,1.86200619e-01,1,1
10,0.5,32.9351,0.05,1.50054660e-01,1,1
10,0.5,37.5862,0.05,2.20060802e-01,1,1
10,0.5,40.9187,0.05,2.00759940e-01,1,1
10,0.5,43.3271,0.05,2.08935546e-01,1,1
