test_name,param,sigma,T,weil_value,positive,strictly_positive
gaussian,1.0,0.4,10.0,1.03729451e+00,1,1
gaussian,1.0,0.4,20.0,4.28837625e-01,1,1
gaussian,1.0,0.4,50.0,4.66369484e+00,1,1
gaussian,1.0,0.4,100.0,4.30478954e-01,1,1
gaussian,1.0,0.4,200.0,1.51398277e+00,1,1
gaussian,1.0,0.4,14.1347,2.69382649e+00,1,1
gaussian,1.0,0.4,21.022,2.83762977e+00,1,1
gaussian,1.0,0.4,25.0109,1.36928506e+00,1,1
gaussian,1.0,0.4,30.4249,1.95897529e+00,1,1
gaussian,1.0,0.4,32.9351,1.54825774e+00,1,1
gaussian,1.0,0.4,37.5862,3.75393064e+00,1,1
gaussian,1.0,0.4,40.9187,2.51228523e+00,1,1
gaussian,1.0,0.4,43.3271,3.19815486e+00,1,1
gaussian,1.0,0.5,10.0,5.56665889e-01,1,1
gaussian,1.0,0.5,20.0,2.73446552e-01,1,1
gaussian,1.0,0.5,50.0,2.54620319e+00,1,1
gaussian,1.0,0.5,100.0,2.88130600e-01,1,1
gaussian,1.0,0.5,200.0,6.05566728e-01,1,1
gaussian,1.0,0.5,14.1347,1.77404767e+00,1,1
gaussian,1.0,0.5,21.022,1.68475831e+00,1,1
gaussian,1.0,0.5,25.0109,8.68352766e-01,1,1
gaussian,1.0,0.5,30.4249,1.22637448e+00,1,1
gaussian,1.0,0.5,32.9351,9.78284920e-01,1,1
gaussian,1.0,0.5,37.5862,1.97675303e+00,1,1
gaussian,1.0,0.5,40.9187,1.46694161e+00,1,1
gaussian,1.0,0.5,43.3271,1.74820217e+00,1,1
gaussian,1.0,0.6,10.0,3.08049254e-01,1,1
gaussian,1.0,0.6,20.0,1.84938578e-01,1,1
gaussian,1.0,0.6,50.0,1.43001122e+00,1,1
gaussian,1.0,0.6,100.0,1.88339906e-01,1,1
gaussian,1.0,0.6,200.0,2.65187009e-01,1,1
gaussian,1.0,0.6,14.1347,1.18350316e+00,1,1
gaussian,1.0,0.6,21.022,1.01969319e+00,1,1
gaussian,1.0,0.6,25.0109,5.53463177e-01,1,1
gaussian,1.0,0.6,30.4249,7.80261923e-01,1,1
gaussian,1.0,0.6,32.9351,6.26357872e-01,1,1
gaussian,1.0,0.6,37.5862,1.06282341e+00,1,1
gaussian,1.0,0.6,40.9187,8.79613388e-01,1,1
gaussian,1.0,0.6,43.3271,9.75737672e-01,1,1
gaussian,4.0,0.4,10.0,9.77446961e-01,1,1
gaussian,4.0,0.4,20.0,4.05504104e-01,1,1
gaussian,4.0,0.4,50.0,4.39693349e+00,1,1
gaussian,4.0,0.4,100.0,4.08528918e-01,1,1
gaussian,4.0,0.4,200.0,1.41369193e+00,1,1
gaussian,4.0,0.4,14.1347,2.55256680e+00,1,1
gaussian,4.0,0.4,21.022,2.68175021e+00,1,1
gaussian,4.0,0.4,25.0109,1.29666228e+00,1,1
gaussian,4.0,0.4,30.4249,1.85392494e+00,1,1
gaussian,4.0,0.4,32.9351,1.46568260e+00,1,1
gaussian,4.0,0.4,37.5862,3.53627623e+00,1,1
gaussian,4.0,0.4,40.9187,2.37280996e+00,1,1
gaussian,4.0,0.4,43.3271,3.01583052e+00,1,1
gaussian,4.0,0.5,10.0,5.24992448e-01,1,1
gaussian,4.0,0.5,20.0,2.58924230e-01,1,1
gaussian,4.0,0.5,50.0,2.40228197e+00,1,1
gaussian,4.0,0.5,100.0,2.73219025e-01,1,1
gaussian,4.0,0.5,200.0,5.65974852e-01,1,1
gaussian,4.0,0.5,14.1347,1.68146756e+00,1,1
gaussian,4.0,0.5,21.022,1.59296919e+00,1,1
gaussian,4.0,0.5,25.0109,8.22371266e-01,1,1
gaussian,4.0,0.5,30.4249,1.16103060e+00,1,1
gaussian,4.0,0.5,32.9351,9.26360280e-01,1,1
gaussian,4.0,0.5,37.5862,1.86323788e+00,1,1
gaussian,4.0,0.5,40.9187,1.38649663e+00,1,1
gaussian,4.0,0.5,43.3271,1.64944032e+00,1,1
gaussian,4.0,0.6,10.0,2.90755792e-01,1,1
gaussian,4.0,0.6,20.0,1.75346903e-01,1,1
gaussian,4.0,0.6,50.0,1.35018601e+00,1,1
gaussian,4.0,0.6,100.0,1.78493355e-01,1,1
gaussian,4.0,0.6,200.0,2.48616351e-01,1,1
gaussian,4.0,0.6,14.1347,1.12205006e+00,1,1
gaussian,4.0,0.6,21.022,9.64591557e-01,1,1
gaussian,4.0,0.6,25.0109,5.24214134e-01,1,1
gaussian,4.0,0.6,30.4249,7.38960251e-01,1,1
gaussian,4.0,0.6,32.9351,5.93287030e-01,1,1
gaussian,4.0,0.6,37.5862,1.00236605e+00,1,1
gaussian,4.0,0.6,40.9187,8.31913300e-01,1,1
gaussian,4.0,0.6,43.3271,9.21119534e-01,1,1
gaussian,9.0,0.4,10.0,8.89309547e-01,1,1
gaussian,9.0,0.4,20.0,3.71053639e-01,1,1
gaussian,9.0,0.4,50.0,4.00392143e+00,1,1
gaussian,9.0,0.4,100.0,3.76021265e-01,1,1
gaussian,9.0,0.4,200.0,1.26683159e+00,1,1
gaussian,9.0,0.4,14.1347,2.34364884e+00,1,1
gaussian,9.0,0.4,21.022,2.45168944e+00,1,1
gaussian,9.0,0.4,25.0109,1.18930917e+00,1,1
gaussian,9.0,0.4,30.4249,1.69871577e+00,1,1
gaussian,9.0,0.4,32.9351,1.34364949e+00,1,1
gaussian,9.0,0.4,37.5862,3.21579694e+00,1,1
gaussian,9.0,0.4,40.9187,2.16706063e+00,1,1
gaussian,9.0,0.4,43.3271,2.74717580e+00,1,1
gaussian,9.0,0.5,10.0,4.78318918e-01,1,1
gaussian,9.0,0.5,20.0,2.37460045e-01,1,1
gaussian,9.0,0.5,50.0,2.19013860e+00,1,1
gaussian,9.0,0.5,100.0,2.51150641e-01,1,1
gaussian,9.0,0.5,200.0,5.07973082e-01,1,1
gaussian,9.0,0.5,14.1347,1.54451529e+00,1,1
gaussian,9.0,0.5,21.022,1.45744955e+00,1,1
gaussian,9.0,0.5,25.0109,7.54395307e-01,1,1
gaussian,9.0,0.5,30.4249,1.06445918e+00,1,1
gaussian,9.0,0.5,32.9351,8.49607378e-01,1,1
gaussian,9.0,0.5,37.5862,1.69602654e+00,1,1
gaussian,9.0,0.5,40.9187,1.26776206e+00,1,1
gaussian,9.0,0.5,43.3271,1.50385762e+00,1,1
gaussian,9.0,0.6,10.0,2.65257440e-01,1,1
gaussian,9.0,0.6,20.0,1.61155075e-01,1,1
gaussian,9.0,0.6,50.0,1.23245796e+00,1,1
gaussian,9.0,0.6,100.0,1.63927868e-01,1,1
gaussian,9.0,0.6,200.0,2.24299658e-01,1,1
gaussian,9.0,0.6,14.1347,1.03112293e+00,1,1
gaussian,9.0,0.6,21.022,8.83208680e-01,1,1
gaussian,9.0,0.6,25.0109,4.80970533e-01,1,1
gaussian,9.0,0.6,30.4249,6.77902783e-01,1,1
gaussian,9.0,0.6,32.9351,5.44391605e-01,1,1
gaussian,9.0,0.6,37.5862,9.13274019e-01,1,1
gaussian,9.0,0.6,40.9187,7.61474137e-01,1,1
gaussian,9.0,0.6,43.3271,8.40575953e-01,1,1
cosinebump,0.15,0.4,10.0,2.70872904e-01,1,1
cosinebump,0.15,0.4,20.0,1.22379016e-01,1,1
cosinebump,0.15,0.4,50.0,1.23426642e+00,1,1
cosinebump,0.15,0.4,100.0,1.33499958e-01,1,1
cosinebump,0.15,0.4,200.0,3.02377722e-01,1,1
cosinebump,0.15,0.4,14.1347,8.07405098e-01,1,1
cosinebump,0.15,0.4,21.022,7.98050113e-01,1,1
cosinebump,0.15,0.4,25.0109,4.04184402e-01,1,1
cosinebump,0.15,0.4,30.4249,5.69855687e-01,1,1
cosinebump,0.15,0.4,32.9351,4.53673765e-01,1,1
cosinebump,0.15,0.4,37.5862,9.71980901e-01,1,1
cosinebump,0.15,0.4,40.9187,6.96059143e-01,1,1
cosinebump,0.15,0.4,43.3271,8.50669670e-01,1,1
cosinebump,0.15,0.5,10.0,1.48597784e-01,1,1
cosinebump,0.15,0.5,20.0,8.06964443e-02,1,1
cosinebump,0.15,0.5,50.0,6.86509552e-01,1,1
cosinebump,0.15,0.5,100.0,8.77319006e-02,1,1
cosinebump,0.15,0.5,200.0,1.24965413e-01,1,1
cosinebump,0.15,0.5,14.1347,5.35091332e-01,1,1
cosinebump,0.15,0.5,21.022,4.79442815e-01,1,1
cosinebump,0.15,0.5,25.0109,2.56872665e-01,1,1
cosinebump,0.15,0.5,30.4249,3.59885631e-01,1,1
cosinebump,0.15,0.5,32.9351,2.88544618e-01,1,1
cosinebump,0.15,0.5,37.5862,5.19832761e-01,1,1
cosinebump,0.15,0.5,40.9187,4.13735053e-01,1,1
cosinebump,0.15,0.5,43.3271,4.71609311e-01,1,1
cosinebump,0.15,0.6,10.0,8.39412785e-02,1,1
cosinebump,0.15,0.6,20.0,5.62933850e-02,1,1
cosinebump,0.15,0.6,50.0,3.92957618e-01,1,1
cosinebump,0.15,0.6,100.0,5.66158695e-02,1,1
cosinebump,0.15,0.6,200.0,6.04390958e-02,1,1
cosinebump,0.15,0.6,14.1347,3.59292735e-01,1,1
cosinebump,0.15,0.6,21.022,2.93543234e-01,1,1
cosinebump,0.15,0.6,25.0109,1.64163515e-01,1,1
cosinebump,0.15,0.6,30.4249,2.31006773e-01,1,1
cosinebump,0.15,0.6,32.9351,1.86052953e-01,1,1
cosinebump,0.15,0.6,37.5862,2.83694456e-01,1,1
cosinebump,0.15,0.6,40.9187,2.52033999e-01,1,1
cosinebump,0.15,0.6,43.3271,2.66930522e-01,1,1
cosinebump,0.2,0.4,10.0,3.78293940e-01,1,1
cosinebump,0.2,0.4,20.0,1.68099028e-01,1,1
cosinebump,0.2,0.4,50.0,1.71964621e+00,1,1
cosinebump,0.2,0.4,100.0,1.80850880e-01,1,1
cosinebump,0.2,0.4,200.0,4.46132077e-01,1,1
cosinebump,0.2,0.4,14.1347,1.09977065e+00,1,1
cosinebump,0.2,0.4,21.022,1.09952247e+00,1,1
cosinebump,0.2,0.4,25.0109,5.52101373e-01,1,1
cosinebump,0.2,0.4,30.4249,7.80358614e-01,1,1
cosinebump,0.2,0.4,32.9351,6.20473754e-01,1,1
cosinebump,0.2,0.4,37.5862,1.35990273e+00,1,1
cosinebump,0.2,0.4,40.9187,9.61467017e-01,1,1
cosinebump,0.2,0.4,43.3271,1.18417798e+00,1,1
cosinebump,0.2,0.5,10.0,2.06674941e-01,1,1
cosinebump,0.2,0.5,20.0,1.10167828e-01,1,1
cosinebump,0.2,0.5,50.0,9.53129274e-01,1,1
cosinebump,0.2,0.5,100.0,1.19220748e-01,1,1
cosinebump,0.2,0.5,200.0,1.82886869e-01,1,1
cosinebump,0.2,0.5,14.1347,7.28024495e-01,1,1
cosinebump,0.2,0.5,21.022,6.59132852e-01,1,1
