sigma,T,lambda,C_0,C_lam,FD2_d2E,flow_mono,flow_pos
0.4,10.0,0.0,8.51483716e-02,8.51483716e-02,3.42337458e+00,1,1
0.4,10.0,0.01,8.51483716e-02,1.19382117e-01,3.42337458e+00,1,1
0.4,10.0,0.05,8.51483716e-02,2.56317100e-01,3.42337458e+00,1,1
0.4,10.0,0.1,8.51483716e-02,4.27485829e-01,3.42337458e+00,1,1
0.4,20.0,0.0,3.93006586e-02,3.93006586e-02,9.98049668e-01,1,1
0.4,20.0,0.01,3.93006586e-02,4.92811553e-02,9.98049668e-01,1,1
0.4,20.0,0.05,3.93006586e-02,8.92031420e-02,9.98049668e-01,1,1
0.4,20.0,0.1,3.93006586e-02,1.39105625e-01,9.98049668e-01,1,1
0.4,50.0,0.0,3.89110581e-01,3.89110581e-01,1.48908952e+01,1,1
0.4,50.0,0.01,3.89110581e-01,5.38019534e-01,1.48908952e+01,1,1
0.4,50.0,0.05,3.89110581e-01,1.13365534e+00,1.48908952e+01,1,1
0.4,50.0,0.1,3.89110581e-01,1.87820011e+00,1.48908952e+01,1,1
0.4,100.0,0.0,4.35838604e-02,4.35838604e-02,6.32023288e-01,1,1
0.4,100.0,0.01,4.35838604e-02,4.99040933e-02,6.32023288e-01,1,1
0.4,100.0,0.05,4.35838604e-02,7.51850248e-02,6.32023288e-01,1,1
0.4,100.0,0.1,4.35838604e-02,1.06786189e-01,6.32023288e-01,1,1
0.4,200.0,0.0,8.83693652e-02,8.83693652e-02,8.09860706e+00,1,1
0.4,200.0,0.01,8.83693652e-02,1.69355436e-01,8.09860706e+00,1,1
0.4,200.0,0.05,8.83693652e-02,4.93299718e-01,8.09860706e+00,1,1
0.4,200.0,0.1,8.83693652e-02,8.98230072e-01,8.09860706e+00,1,1
0.5,10.0,0.0,4.69572224e-02,4.69572224e-02,1.71810076e+00,1,1
0.5,10.0,0.01,4.69572224e-02,6.41382300e-02,1.71810076e+00,1,1
0.5,10.0,0.05,4.69572224e-02,1.32862260e-01,1.71810076e+00,1,1
0.5,10.0,0.1,4.69572224e-02,2.18767298e-01,1.71810076e+00,1,1
0.5,20.0,0.0,2.61189056e-02,2.61189056e-02,5.21861208e-01,1,1
0.5,20.0,0.01,2.61189056e-02,3.13375177e-02,5.21861208e-01,1,1
0.5,20.0,0.05,2.61189056e-02,5.22119660e-02,5.21861208e-01,1,1
0.5,20.0,0.1,2.61189056e-02,7.83050264e-02,5.21861208e-01,1,1
0.5,50.0,0.0,2.17409383e-01,2.17409383e-01,7.63700905e+00,1,1
0.5,50.0,0.01,2.17409383e-01,2.93779474e-01,7.63700905e+00,1,1
0.5,50.0,0.05,2.17409383e-01,5.99259836e-01,7.63700905e+00,1,1
0.5,50.0,0.1,2.17409383e-01,9.81110288e-01,7.63700905e+00,1,1
0.5,100.0,0.0,2.85321415e-02,2.85321415e-02,4.87744149e-01,1,1
0.5,100.0,0.01,2.85321415e-02,3.34095830e-02,4.87744149e-01,1,1
0.5,100.0,0.05,2.85321415e-02,5.29193489e-02,4.87744149e-01,1,1
0.5,100.0,0.1,2.85321415e-02,7.73065564e-02,4.87744149e-01,1,1
0.5,200.0,0.0,3.69783572e-02,3.69783572e-02,3.03870840e+00,1,1
0.5,200.0,0.01,3.69783572e-02,6.73654412e-02,3.03870840e+00,1,1
0.5,200.0,0.05,3.69783572e-02,1.88913777e-01,3.03870840e+00,1,1
0.5,200.0,0.1,3.69783572e-02,3.40849197e-01,3.03870840e+00,1,1
0.6,10.0,0.0,2.66541586e-02,2.66541586e-02,8.86659369e-01,1,1
0.6,10.0,0.01,2.66541586e-02,3.55207523e-02,8.86659369e-01,1,1
0.6,10.0,0.05,2.66541586e-02,7.09871271e-02,8.86659369e-01,1,1
0.6,10.0,0.1,2.66541586e-02,1.15320096e-01,8.86659369e-01,1,1
0.6,20.0,0.0,1.83467002e-02,1.83467002e-02,2.79919677e-01,1,1
0.6,20.0,0.01,1.83467002e-02,2.11458970e-02,2.79919677e-01,1,1
0.6,20.0,0.05,1.83467002e-02,3.23426841e-02,2.79919677e-01,1,1
0.6,20.0,0.1,1.83467002e-02,4.63386680e-02,2.79919677e-01,1,1
0.6,50.0,0.0,1.25013102e-01,1.25013102e-01,3.99760025e+00,1,1
0.6,50.0,0.01,1.25013102e-01,1.64989104e-01,3.99760025e+00,1,1
0.6,50.0,0.05,1.25013102e-01,3.24893114e-01,3.99760025e+00,1,1
0.6,50.0,0.1,1.25013102e-01,5.24773127e-01,3.99760025e+00,1,1
0.6,100.0,0.0,1.83630786e-02,1.83630786e-02,3.47265560e-01,1,1
0.6,100.0,0.01,1.83630786e-02,2.18357342e-02,3.47265560e-01,1,1
0.6,100.0,0.05,1.83630786e-02,3.57263566e-02,3.47265560e-01,1,1
0.6,100.0,0.1,1.83630786e-02,5.30896346e-02,3.47265560e-01,1,1
0.6,200.0,0.0,1.84616874e-02,1.84616874e-02,1.08904691e+00,1,1
0.6,200.0,0.01,1.84616874e-02,2.93521565e-02,1.08904691e+00,1,1
0.6,200.0,0.05,1.84616874e-02,7.29140330e-02,1.08904691e+00,1,1
0.6,200.0,0.1,1.84616874e-02,1.27366379e-01,1.08904691e+00,1,1
