T,c_natural,c_geometric,delta_b,S_T
14.13472514,8.14992645,6.97079134,0.22546460,1.16915369
21.02203964,11.39210906,8.73291952,0.38349891,1.30450178
25.01085758,13.82010143,9.60004985,0.52565440,1.43958642
30.00000000,16.12357310,10.12227381,0.67163809,1.59288055
30.42487613,16.12357310,10.12227381,0.67163809,1.59288055
32.93506159,18.02796702,10.46987711,0.78399221,1.72188908
37.58617816,19.91965011,10.59698228,0.91053882,1.87974742
40.00000000,19.91965011,10.59698228,0.91053882,1.87974742
40.91871901,19.91965011,10.59698228,0.91053882,1.87974742
43.32707328,23.69845010,10.69648218,1.14765630,2.21553682
48.00515088,25.58560629,10.71143754,1.25618031,2.38862489
50.00000000,26.50632885,10.71581123,1.30659580,2.47357184
75.00000000,39.35503580,10.71904878,1.87637137,3.67150450
100.00000000,48.90772529,10.71904883,2.18988547,4.56269265
