T,E_9D,E_macro,E_micro,cons_err,S_T,delta_b,macro_1,macro_2,macro_3,micro_1,micro_2,micro_3,micro_4,micro_5,micro_6
1.4134725142e+01,3.4428429578e+02,6.5061996828e+00,3.3777809610e+02,0.0000000000e+00,1.1691536941e+00,2.2546459556e-01,2.3878780300e+00,5.1750357452e-01,-7.3241262055e-01,5.7733612751e-01,1.8606526173e+00,4.0628584091e+00,7.5269045072e+00,1.1052524089e+01,1.1775540424e+01
2.1022039639e+01,5.4770111563e+02,9.6714159863e+00,5.3802969964e+02,1.1368683772e-13,1.3045017802e+00,3.8349891294e-01,2.9293450214e+00,9.2341282807e-01,-4.8750639084e-01,5.7733612751e-01,1.8606526173e+00,4.0628606817e+00,7.5785986861e+00,1.2896864163e+01,1.7145356639e+01
2.5010857580e+01,6.4748204791e+02,1.1340031160e+01,6.3614201675e+02,1.1368683772e-13,1.4395864236e+00,5.2565440170e-01,3.1409260409e+00,9.2269329651e-01,-7.8946301109e-01,5.7733612751e-01,1.8606526173e+00,4.0628606817e+00,7.5787804932e+00,1.3140830357e+01,1.9639768289e+01
3.0000000000e+01,7.0260203756e+02,1.2565007543e+01,6.9003703002e+02,0.0000000000e+00,1.5928805527e+00,6.7163808579e-01,3.2756527652e+00,8.7557821837e-01,-1.0336678811e+00,5.7733612751e-01,1.8606526173e+00,4.0628606817e+00,7.5787812098e+00,1.3173659186e+01,2.0946398902e+01
3.0424876126e+01,7.0260203756e+02,1.2565007543e+01,6.9003703002e+02,0.0000000000e+00,1.5928805527e+00,6.7163808579e-01,3.2756527652e+00,8.7557821837e-01,-1.0336678811e+00,5.7733612751e-01,1.8606526173e+00,4.0628606817e+00,7.5787812098e+00,1.3173659186e+01,2.0946398902e+01
3.2935061588e+01,7.3794128722e+02,1.3433362818e+01,7.2450792440e+02,1.1368683772e-13,1.7218890753e+00,7.8399220680e-01,3.3886041521e+00,8.7046036629e-01,-1.0922561372e+00,5.7733612751e-01,1.8606526173e+00,4.0628606817e+00,7.5787812175e+00,1.3181420237e+01,2.1748976484e+01
3.7586178159e+01,7.4918293512e+02,1.4360608398e+01,7.3482232672e+02,0.0000000000e+00,1.8797474204e+00,9.1053882156e-01,3.5492748768e+00,1.0167566602e+00,-8.5408555809e-01,5.7733612751e-01,1.8606526173e+00,4.0628606817e+00,7.5787812175e+00,1.3181647765e+01,2.1984685172e+01
4.0000000000e+01,7.4918293512e+02,1.4360608398e+01,7.3482232672e+02,0.0000000000e+00,1.8797474204e+00,9.1053882156e-01,3.5492748768e+00,1.0167566602e+00,-8.5408555809e-01,5.7733612751e-01,1.8606526173e+00,4.0628606817e+00,7.5787812175e+00,1.3181647765e+01,2.1984685172e+01
4.0918719011e+01,7.4918293512e+02,1.4360608398e+01,7.3482232672e+02,0.0000000000e+00,1.8797474204e+00,9.1053882156e-01,3.5492748768e+00,1.0167566602e+00,-8.5408555809e-01,5.7733612751e-01,1.8606526173e+00,4.0628606817e+00,7.5787812175e+00,1.3181647765e+01,2.1984685172e+01
4.3327073281e+01,7.5827411734e+02,1.6491453958e+01,7.4178266338e+02,0.0000000000e+00,2.2155368172e+00,1.1476563014e+00,3.7974783059e+00,1.1412705648e+00,-8.7642111562e-01,5.7733612751e-01,1.8606526173e+00,4.0628606817e+00,7.5787812175e+00,1.3181666356e+01,2.2142407923e+01
4.8005150881e+01,7.6009238823e+02,1.7407655672e+01,7.4268473256e+02,2.2737367544e-13,2.3886248870e+00,1.2561803087e+00,3.8948686629e+00,1.1564699767e+00,-9.4880501883e-01,5.7733612751e-01,1.8606526173e+00,4.0628606817e+00,7.5787812175e+00,1.3181666493e+01,2.2162768198e+01
5.0000000000e+01,7.6076318986e+02,1.7828148818e+01,7.4293504105e+02,1.1368683772e-13,2.4735718352e+00,1.3065957975e+00,3.9383256648e+00,1.1571313727e+00,-9.8933652642e-01,5.7733612751e-01,1.8606526173e+00,4.0628606817e+00,7.5787812175e+00,1.3181666505e+01,2.2168414521e+01
7.5000000000e+01,7.6596107032e+02,2.2862186023e+01,7.4309888430e+02,1.1368683772e-13,3.6715044964e+00,1.8763713668e+00,4.4795079995e+00,1.4134815099e+00,-8.9345628148e-01,5.7733612751e-01,1.8606526173e+00,4.0628606817e+00,7.5787812175e+00,1.3181666505e+01,2.2172109634e+01
1.0000000000e+02,7.6932228163e+02,2.6223395663e+01,7.4309888596e+02,1.1368683772e-13,4.5626926457e+00,2.1898854735e+00,4.7858890435e+00,1.5006437963e+00,-1.0328261825e+00,5.7733612751e-01,1.8606526173e+00,4.0628606817e+00,7.5787812175e+00,1.3181666505e+01,2.2172109671e+01
